task,architecture,block,metric,kind,B,init_reps,delta_alignment,retention_alignment,release_alignment
two_concepts,bn2_w16_gap,6000,centered_logit_fidelity,selected,0.12788632882163742,4,0.184459159915345,0.978113381338995,0.7936542214236499
two_concepts,bn2_w16_gap,6000,prob_error_reduction,selected,0.0066398680210113525,4,0.184459159915345,0.978113381338995,0.7936542214236499
two_concepts,bn2_w16_gap,6001,centered_logit_fidelity,selected,-0.3313291385345324,4,0.19156095578610566,0.9793150518263696,0.7877540960402639
two_concepts,bn2_w16_gap,6001,prob_error_reduction,selected,-0.34099362790584564,4,0.19156095578610566,0.9793150518263696,0.7877540960402639
two_concepts,bn2_w16_gap,6002,centered_logit_fidelity,selected,0.13630266141762992,4,0.1937093492715963,0.978182748630126,0.7844733993585297
two_concepts,bn2_w16_gap,6002,prob_error_reduction,selected,0.24127094633877277,4,0.1937093492715963,0.978182748630126,0.7844733993585297
two_concepts,bn2_w16_gap,6003,centered_logit_fidelity,selected,0.03999462977873852,4,0.18234947375803415,0.9804624500911626,0.7981129763331285
two_concepts,bn2_w16_gap,6003,prob_error_reduction,selected,0.018552467226982117,4,0.18234947375803415,0.9804624500911626,0.7981129763331285
two_concepts,bn2_w16_gap,6004,centered_logit_fidelity,selected,-0.23620759473278063,4,0.20661560298027626,0.9788178324502093,0.772202229469933
two_concepts,bn2_w16_gap,6004,prob_error_reduction,selected,-0.091598741710186,4,0.20661560298027626,0.9788178324502093,0.772202229469933
two_concepts,bn2_w16_gap,6005,centered_logit_fidelity,selected,0.23501626382376906,4,0.18905633458614435,0.9816394214439544,0.7925830868578101
two_concepts,bn2_w16_gap,6005,prob_error_reduction,selected,-0.013138920068740845,4,0.18905633458614435,0.9816394214439544,0.7925830868578101
two_concepts,bn2_w16_gap,6006,centered_logit_fidelity,selected,-0.1279819790185705,4,0.17992987603168245,0.9766896537423795,0.796759777710697
two_concepts,bn2_w16_gap,6006,prob_error_reduction,selected,-0.08896675333380699,4,0.17992987603168245,0.9766896537423795,0.796759777710697
two_concepts,bn2_w16_gap,6007,centered_logit_fidelity,selected,0.02843258078221189,4,0.19817590428322154,0.9812125399114325,0.783036635628211
two_concepts,bn2_w16_gap,6007,prob_error_reduction,selected,0.08749754726886749,4,0.19817590428322154,0.9812125399114325,0.783036635628211
two_concepts,bn2_w16_gap,6008,centered_logit_fidelity,selected,0.33779678116067,4,0.18581634040211317,0.9810935393005947,0.7952771988984816
two_concepts,bn2_w16_gap,6008,prob_error_reduction,selected,-0.0023554377257823944,4,0.18581634040211317,0.9810935393005947,0.7952771988984816
two_concepts,bn2_w16_gap,6009,centered_logit_fidelity,selected,-0.2657260577242585,4,0.18875213455094644,0.9795246312155665,0.7907724966646201
two_concepts,bn2_w16_gap,6009,prob_error_reduction,selected,0.03346169739961624,4,0.18875213455094644,0.9795246312155665,0.7907724966646201
two_concepts,bn2_w16_gap,6010,centered_logit_fidelity,selected,0.2773181314468386,4,0.19145467819979395,0.9745327446762615,0.7830780664764676
two_concepts,bn2_w16_gap,6010,prob_error_reduction,selected,0.08346626162528992,4,0.19145467819979395,0.9745327446762615,0.7830780664764676
two_concepts,bn2_w16_gap,6011,centered_logit_fidelity,selected,-0.6985155693546281,4,0.19635864313864854,0.9816397353647638,0.7852810922261153
two_concepts,bn2_w16_gap,6011,prob_error_reduction,selected,-0.32552581280469894,4,0.19635864313864854,0.9816397353647638,0.7852810922261153
two_concepts,bn2_w16_gap,6012,centered_logit_fidelity,selected,-0.2609589481624065,4,0.20784403491730924,0.9795547242349786,0.7717106893176693
two_concepts,bn2_w16_gap,6012,prob_error_reduction,selected,0.22554972767829895,4,0.20784403491730924,0.9795547242349786,0.7717106893176693
two_concepts,bn2_w16_gap,6013,centered_logit_fidelity,selected,-0.42654073787882774,4,0.20222929255883138,0.9796691196609865,0.7774398271021551
two_concepts,bn2_w16_gap,6013,prob_error_reduction,selected,-0.19054313376545906,4,0.20222929255883138,0.9796691196609865,0.7774398271021551
two_concepts,bn2_w16_gap,6014,centered_logit_fidelity,selected,-0.2010337194104816,4,0.18824577338515142,0.9793091582579506,0.7910633848727993
two_concepts,bn2_w16_gap,6014,prob_error_reduction,selected,-0.08196739107370377,4,0.18824577338515142,0.9793091582579506,0.7910633848727993
two_concepts,bn2_w16_gap,6015,centered_logit_fidelity,selected,-0.3332208930182501,4,0.21120431889493657,0.9785968760288595,0.7673925571339228
two_concepts,bn2_w16_gap,6015,prob_error_reduction,selected,-0.2797083705663681,4,0.21120431889493657,0.9785968760288595,0.7673925571339228
two_concepts,bn2_w16_gap,6016,centered_logit_fidelity,selected,-0.4450014671165977,4,0.19104722956688577,0.9781918100065838,0.787144580439698
two_concepts,bn2_w16_gap,6016,prob_error_reduction,selected,-0.11328615248203278,4,0.19104722956688577,0.9781918100065838,0.787144580439698
two_concepts,bn2_w16_gap,6017,centered_logit_fidelity,selected,-0.25546289689224083,4,0.19403055024881577,0.979301113005308,0.7852705627564922
two_concepts,bn2_w16_gap,6017,prob_error_reduction,selected,-0.23708812147378922,4,0.19403055024881577,0.979301113005308,0.7852705627564922
two_concepts,bn2_w16_gap,6018,centered_logit_fidelity,selected,0.5370233988242223,4,0.19294975185043997,0.9744234107581509,0.7814736589077108
two_concepts,bn2_w16_gap,6018,prob_error_reduction,selected,-0.02991102635860443,4,0.19294975185043997,0.9744234107581509,0.7814736589077108
two_concepts,bn2_w16_gap,6019,centered_logit_fidelity,selected,-0.10567355866803035,4,0.18212529176295708,0.9765046038775312,0.7943793121145741
two_concepts,bn2_w16_gap,6019,prob_error_reduction,selected,-0.06179655343294144,4,0.18212529176295708,0.9765046038775312,0.7943793121145741
two_concepts,bn2_w16_gap,6020,centered_logit_fidelity,selected,0.13176770327499746,4,0.18004566128055477,0.9749285238546771,0.7948828625741223
two_concepts,bn2_w16_gap,6020,prob_error_reduction,selected,0.061559997498989105,4,0.18004566128055477,0.9749285238546771,0.7948828625741223
two_concepts,bn2_w16_gap,6021,centered_logit_fidelity,selected,-0.0588577548603062,4,0.19541458780270465,0.9762954166733242,0.7808808288706196
two_concepts,bn2_w16_gap,6021,prob_error_reduction,selected,-0.06555934250354767,4,0.19541458780270465,0.9762954166733242,0.7808808288706196
two_concepts,bn2_w16_gap,6022,centered_logit_fidelity,selected,0.1300598872174864,4,0.20171264178480655,0.9764779956595664,0.7747653538747599
