task,architecture,block,metric,kind,B,init_reps
single_shape,bn2_w16_gap,6033,prob_error_reduction,random,0.14523152820765972,4
single_shape,bn2_w16_gap,6034,centered_logit_fidelity,random,-0.12220589741392043,4
single_shape,bn2_w16_gap,6034,prob_error_reduction,random,0.07460986822843552,4
single_shape,bn2_w16_gap,6035,centered_logit_fidelity,random,0.2818266901721467,4
single_shape,bn2_w16_gap,6035,prob_error_reduction,random,0.09257091954350471,4
single_shape,bn2_w16_gap,6036,centered_logit_fidelity,random,0.12982590086530904,4
single_shape,bn2_w16_gap,6036,prob_error_reduction,random,0.07067741174250841,4
single_shape,bn2_w16_gap,6037,centered_logit_fidelity,random,0.9292216658684411,4
single_shape,bn2_w16_gap,6037,prob_error_reduction,random,0.18227609433233738,4
single_shape,bn2_w16_gap,6038,centered_logit_fidelity,random,0.6534010279364874,4
single_shape,bn2_w16_gap,6038,prob_error_reduction,random,0.194256198592484,4
single_shape,bn2_w16_gap,6039,centered_logit_fidelity,random,0.7998280114480781,4
single_shape,bn2_w16_gap,6039,prob_error_reduction,random,0.10438267979770899,4
single_shape,bn2_w16_gap,6040,centered_logit_fidelity,random,0.2579105981230394,4
single_shape,bn2_w16_gap,6040,prob_error_reduction,random,-0.002452806569635868,4
single_shape,bn2_w16_gap,6041,centered_logit_fidelity,random,0.7190014293711369,4
single_shape,bn2_w16_gap,6041,prob_error_reduction,random,0.0854833354242146,4
single_shape,bn2_w16_gap,6042,centered_logit_fidelity,random,0.1750408366080899,4
single_shape,bn2_w16_gap,6042,prob_error_reduction,random,0.11442625895142555,4
single_shape,bn2_w16_gap,6043,centered_logit_fidelity,random,0.7710987245184577,4
single_shape,bn2_w16_gap,6043,prob_error_reduction,random,0.08848134241998196,4
single_shape,bn2_w16_gap,6044,centered_logit_fidelity,random,0.5419528668602426,4
single_shape,bn2_w16_gap,6044,prob_error_reduction,random,0.09822253603488207,4
single_shape,bn2_w16_gap,6045,centered_logit_fidelity,random,0.21411643065706953,4
single_shape,bn2_w16_gap,6045,prob_error_reduction,random,0.07469723327085376,4
single_shape,bn2_w16_gap,6046,centered_logit_fidelity,random,0.20770657607324158,4
single_shape,bn2_w16_gap,6046,prob_error_reduction,random,0.10439231153577566,4
single_shape,bn2_w16_gap,6047,centered_logit_fidelity,random,0.43556870145291005,4
single_shape,bn2_w16_gap,6047,prob_error_reduction,random,0.05297533888369799,4
single_shape,bn2_w16_gap,6048,centered_logit_fidelity,random,0.7198742355980756,4
single_shape,bn2_w16_gap,6048,prob_error_reduction,random,0.10758779104799032,4
single_shape,bn2_w16_gap,6049,centered_logit_fidelity,random,0.21292788665395987,4
single_shape,bn2_w16_gap,6049,prob_error_reduction,random,0.15115870162844658,4
single_shape,bn2_w16_gap,6050,centered_logit_fidelity,random,0.6571956641950174,4
single_shape,bn2_w16_gap,6050,prob_error_reduction,random,0.12618177384138107,4
single_shape,bn2_w16_gap,6051,centered_logit_fidelity,random,-0.20807783234650912,4
single_shape,bn2_w16_gap,6051,prob_error_reduction,random,0.09695498086512089,4
single_shape,bn2_w16_gap,6052,centered_logit_fidelity,random,0.37664226507331056,4
single_shape,bn2_w16_gap,6052,prob_error_reduction,random,0.08741272799670696,4
single_shape,bn2_w16_gap,6053,centered_logit_fidelity,random,0.4772660023691088,4
single_shape,bn2_w16_gap,6053,prob_error_reduction,random,0.06538999918848276,4
single_shape,bn2_w16_gap,6054,centered_logit_fidelity,random,0.6116764122445689,4
single_shape,bn2_w16_gap,6054,prob_error_reduction,random,0.08317373599857092,4
single_shape,bn2_w16_gap,6055,centered_logit_fidelity,random,0.2502505075156517,4
single_shape,bn2_w16_gap,6055,prob_error_reduction,random,0.1064986689016223,4
single_shape,bn2_w16_gap,6056,centered_logit_fidelity,random,0.32918195062169436,4
single_shape,bn2_w16_gap,6056,prob_error_reduction,random,0.19557012245059013,4
single_shape,bn2_w16_gap,6057,centered_logit_fidelity,random,0.8469314734346745,4
single_shape,bn2_w16_gap,6057,prob_error_reduction,random,0.16527963057160378,4
single_shape,bn2_w16_gap,6058,centered_logit_fidelity,random,0.5910209103027567,4
single_shape,bn2_w16_gap,6058,prob_error_reduction,random,0.1523893615230918,4
single_shape,bn2_w16_gap,6059,centered_logit_fidelity,random,0.8062782319277397,4
single_shape,bn2_w16_gap,6059,prob_error_reduction,random,0.11535022687166929,4
single_shape,bn2_w16_gap,6060,centered_logit_fidelity,random,0.43805230624976677,4
single_shape,bn2_w16_gap,6060,prob_error_reduction,random,0.0740446113049984,4
single_shape,bn2_w16_gap,6061,centered_logit_fidelity,random,0.3724545598334458,4
single_shape,bn2_w16_gap,6061,prob_error_reduction,random,0.1275840988382697,4
single_shape,bn2_w16_gap,6062,centered_logit_fidelity,random,0.638413308310651,4
