task,metric,kind,F,df1,df2,p_uncorrected,partial_eta_squared,ss_arch,ss_error,gg_epsilon,gg_df1,gg_df2,gg_p,permutation_p,friedman_chi2,friedman_p,permutation_p_holm_two_metric_family
two_concepts,centered_logit_fidelity,selected,77.08739226445071,15,1485,2.4019133227418722e-173,0.43777916904283354,10.71144199548371,13.75624114920167,0.18614267000486875,2.7921400500730313,276.4218649572301,1.564594347368736e-34,9.99990000099999e-06,731.5332352941177,3.515890681793539e-146,1.999980000199998e-05
two_concepts,prob_error_reduction,selected,656.7001593921728,15,1485,0.0,0.8689956608191959,78.46095383142627,11.828281626276366,0.5972689023698285,8.959033535547428,886.9443200191954,0.0,9.99990000099999e-06,982.4461764705884,7.788892244956112e-200,1.999980000199998e-05
two_concepts,centered_logit_fidelity,random,505.9667642753203,15,1485,0.0,0.8363546464927036,5.360848863808808,1.0489306313967297,0.139356257132935,2.090343856994025,206.94404184240847,5.7448503220353e-82,9.99990000099999e-06,789.6714705882359,1.3701985553225424e-158,1.999980000199998e-05
two_concepts,prob_error_reduction,random,1144.0106672773766,15,1485,0.0,0.9203546658076199,16.88396268304307,1.4610985311870257,0.4475698255236501,6.713547382854752,664.6411909026205,0.0,9.99990000099999e-06,1290.5894117647058,5.5944163261398086e-266,1.999980000199998e-05
two_concepts,centered_logit_fidelity,selected_minus_random,162.8470614667791,15,1485,2.6417395733866866e-300,0.6219167041805422,23.31752089500251,14.17547573663876,0.1793076526458195,2.689614789687292,266.2718641790419,2.9804577428395657e-56,9.99990000099999e-06,844.7444117647065,2.3317807525250375e-170,1.999980000199998e-05
two_concepts,prob_error_reduction,selected_minus_random,327.6305675058465,15,1485,0.0,0.7679491167762064,38.70715087084171,11.696124587474419,0.6107046015770836,9.160569023656254,906.8963333419692,2.0888492615959698e-280,9.99990000099999e-06,807.873529411765,1.77183709077433e-162,1.999980000199998e-05
