task,architecture,metric,spearman_rho,bootstrap_ci_low,bootstrap_ci_high
two_concepts,bn2_w16_gap,centered_logit_fidelity,-0.11666366636663665,-0.3061343215067906,0.06990913372473433
two_concepts,bn2_w16_gmp,centered_logit_fidelity,-0.14463846384638462,-0.3462580428651722,0.060155407109207054
two_concepts,bn4_w16_gap,centered_logit_fidelity,-0.009816981698169814,-0.21923992140678206,0.18563037925056886
two_concepts,bn4_w16_gmp,centered_logit_fidelity,0.17246924692469243,-0.03386971274666752,0.36018806336222264
two_concepts,plain2_w16_gap,centered_logit_fidelity,-0.01804980498049805,-0.2145801860921189,0.1761247325150622
two_concepts,plain2_w16_gmp,centered_logit_fidelity,-0.09689768976897688,-0.29815739984932843,0.10877512734838868
two_concepts,plain2_w64_gap,centered_logit_fidelity,0.2979297929792979,0.12743707341085225,0.45555021811171115
two_concepts,plain2_w64_gmp,centered_logit_fidelity,0.04026402640264026,-0.17579028412275002,0.2558166829206664
two_concepts,plain4_w16_gap,centered_logit_fidelity,0.2649144914491449,0.06911715472880361,0.4467696677524895
two_concepts,plain4_w16_gmp,centered_logit_fidelity,-0.057941794179417944,-0.25705588488135306,0.1511893912402948
two_concepts,plain4_w64_gap,centered_logit_fidelity,0.10703870387038701,-0.08439044318579744,0.2879166683340403
two_concepts,plain4_w64_gmp,centered_logit_fidelity,-0.057293729372937294,-0.2674486381539904,0.15561972109999198
two_concepts,res4_w16_gap,centered_logit_fidelity,0.27453945394539453,0.07569383583777814,0.4556026165246826
two_concepts,res4_w16_gmp,centered_logit_fidelity,-0.015025502550255022,-0.22216174137701536,0.18629127393893766
two_concepts,tiny_gap,centered_logit_fidelity,0.16166816681668164,-0.03355572384825202,0.34544093892528765
two_concepts,tiny_gmp,centered_logit_fidelity,-0.015613561356135612,-0.2157067900151767,0.189722815264471
two_concepts,bn2_w16_gap,prob_error_reduction,0.10293429342934292,-0.0939751000848839,0.29097191946380047
two_concepts,bn2_w16_gmp,prob_error_reduction,-0.14672667266726672,-0.35384247907176825,0.06932413548666638
two_concepts,bn4_w16_gap,prob_error_reduction,-0.018481848184818482,-0.22146953769172067,0.18779944239998186
two_concepts,bn4_w16_gmp,prob_error_reduction,-0.11020702070207018,-0.29715054233610744,0.08558774695219802
two_concepts,plain2_w16_gap,prob_error_reduction,0.07663966396639663,-0.12677576445873612,0.2642513284662937
two_concepts,plain2_w16_gmp,prob_error_reduction,-0.016069606960696068,-0.22484469988013733,0.1952419323031051
two_concepts,plain2_w64_gap,prob_error_reduction,0.1668166816681668,-0.029699834087752452,0.3460285433072219
two_concepts,plain2_w64_gmp,prob_error_reduction,-0.05782178217821781,-0.2529532449341043,0.15082175828661296
two_concepts,plain4_w16_gap,prob_error_reduction,-0.04235223522352235,-0.23113691644417517,0.14977897414901767
two_concepts,plain4_w16_gmp,prob_error_reduction,-0.04506450645064506,-0.2493710641846689,0.16197983363444976
two_concepts,plain4_w64_gap,prob_error_reduction,0.16420042004200416,-0.026851814732150488,0.34276436141704847
two_concepts,plain4_w64_gmp,prob_error_reduction,-0.0013561356135613559,-0.20421143517965248,0.19437860141566368
two_concepts,res4_w16_gap,prob_error_reduction,-0.00096009600960096,-0.2024600425845554,0.1957542165725679
two_concepts,res4_w16_gmp,prob_error_reduction,0.05642964296429643,-0.13955440475303016,0.2477754761469609
two_concepts,tiny_gap,prob_error_reduction,-0.0643024302430243,-0.2608568143673498,0.1220834291816235
two_concepts,tiny_gmp,prob_error_reduction,0.07821182118211821,-0.132857739358764,0.2833709740382625
