task,architecture,metric,selected_mean,selected_ci_low,selected_ci_high,random_mean,random_ci_low,random_ci_high,selected_minus_random_mean,selected_minus_random_ci_low,selected_minus_random_ci_high
single_shape,bn2_w16_gap,centered_logit_fidelity,-0.2701247411073082,-0.3555484310413039,-0.18470105117331254,0.5013330946973646,0.448822569729062,0.5538436196656673,-0.7714578358046726,-0.8618911884266484,-0.6810244831826969
single_shape,bn2_w16_gap,prob_error_reduction,-0.0339982595294714,-0.05722756201993513,-0.010768957039007664,0.1124925491772592,0.10330553731477418,0.12167956103974423,-0.1464908087067306,-0.16943629280791378,-0.1235453246055474
single_shape,bn2_w16_gmp,centered_logit_fidelity,0.0667674396547638,0.05789935850825836,0.07563552080126923,0.07212575164662413,0.06656206923439054,0.07768943405885773,-0.005358311991860329,-0.01432203859740174,0.003605414613681081
single_shape,bn2_w16_gmp,prob_error_reduction,0.11551723433658481,0.09685834042594665,0.13417612824722297,0.0901670040981844,0.0841563664106915,0.0961776417856773,0.025350230238400398,0.008578218048660567,0.04212224242814023
single_shape,bn4_w16_gap,centered_logit_fidelity,0.377254372642395,0.2823599507867401,0.47214879449804986,0.30683789754088847,0.25978888579473897,0.353886909287038,0.07041647510150657,-0.02440939421935444,0.16524234442236757
single_shape,bn4_w16_gap,prob_error_reduction,0.038334995619952676,0.015305786888047002,0.061364204351858354,0.032540167314000425,0.027643333633491654,0.037437000994509195,0.005794828305952251,-0.017157959061446997,0.0287476156733515
single_shape,bn4_w16_gmp,centered_logit_fidelity,0.002785044847852308,-0.001754420316913024,0.00732451001261764,0.0039955962097410706,0.0026273025766055365,0.005363889842876605,-0.001210551361888762,-0.005883485736383637,0.0034623830126061135
single_shape,bn4_w16_gmp,prob_error_reduction,0.010161498673260211,0.0022064352986590503,0.01811656204786137,0.007477635382674635,0.005986857760484511,0.008968413004864758,0.0026838632905855776,-0.00500477793887249,0.010372504520043646
single_shape,plain2_w16_gap,centered_logit_fidelity,0.04487539124108467,0.027547768594840906,0.06220301388732843,0.0035767936645452227,-0.0006979217587776282,0.007851509087868073,0.04129859757653945,0.02499270739847666,0.05760448775460224
single_shape,plain2_w16_gap,prob_error_reduction,0.2026047917548567,0.1867543215214035,0.21845526198830992,0.1339488148095552,0.1300748681766056,0.1378227614425048,0.06865597694530151,0.05347229166031053,0.0838396622302925
