task,architecture,metric,n,mean,sd,ci_low,ci_high,t_stat,p_two_sided
single_shape,bn2_w16_gap,agreement,100,-0.03055664095343673,0.06349322470871692,-0.0431550742312289,-0.01795820767564456,-4.8125829320559985,5.3471378119313916e-06
single_shape,bn2_w16_gap,centered_logit_error_reduction,100,-52.11731170654297,59.46686586188992,-63.91682803663073,-40.31779537645521,-8.764092566704948,5.392984669976211e-14
single_shape,bn2_w16_gap,centered_logit_fidelity,100,-0.2701247411073082,0.4305158761278494,-0.3555484310413039,-0.18470105117331254,-6.274443199095631,9.296616165713568e-09
single_shape,bn2_w16_gap,cf_accuracy,100,-0.042120768848690204,0.05862117484711386,-0.05375248173404566,-0.030489055963334743,-7.185248156240929,1.2743307559495257e-10
single_shape,bn2_w16_gap,prob_error_reduction,100,-0.0339982595294714,0.11707037615968097,-0.05722756201993513,-0.010768957039007664,-2.90408732291922,0.0045423885902840955
single_shape,bn2_w16_gap,prob_fidelity,100,-0.03406465525561393,0.07449917460425058,-0.04884690776850896,-0.0192824027427189,-4.572487606281527,1.3960171259914338e-05
single_shape,bn2_w16_gap,raw_logit_error_reduction,100,-52.87357056617737,60.306316323496,-64.83965207985871,-40.90748905249603,-8.767501281715203,5.301906440756709e-14
single_shape,bn2_w16_gap,raw_logit_fidelity,100,-0.2691847311243828,0.4352400923994575,-0.35554580805928704,-0.18282365418947857,-6.18474115379354,1.4024180600270753e-08
single_shape,bn2_w16_gmp,agreement,100,0.027449545624403982,0.05076241770692573,0.01737718065264473,0.037521910596163235,5.40745434602476,4.438208094817636e-07
single_shape,bn2_w16_gmp,centered_logit_error_reduction,100,32.5614983177185,12.453205147546896,30.090512242183923,35.03248439325308,26.147082563827077,3.0448821409925218e-46
single_shape,bn2_w16_gmp,centered_logit_fidelity,100,0.0667674396547638,0.04469310243224788,0.05789935850825836,0.07563552080126923,14.939092616356028,4.1129930882160605e-27
single_shape,bn2_w16_gmp,cf_accuracy,100,0.02750976679046289,0.05077465385084032,0.017434973902285898,0.037584559678639884,5.418011685767032,4.240851014320747e-07
single_shape,bn2_w16_gmp,prob_error_reduction,100,0.11551723433658481,0.09403656135343487,0.09685834042594665,0.13417612824722297,12.284289501230823,1.2704947232554967e-21
single_shape,bn2_w16_gmp,prob_fidelity,100,0.05756710457840485,0.0472100412070276,0.04819960817359711,0.06693460098321259,12.19382637815523,1.9794559923716424e-21
single_shape,bn2_w16_gmp,raw_logit_error_reduction,100,35.02438666820526,13.288425429501022,32.38767476849446,37.661098567916056,26.357063035059994,1.5220809702656094e-46
single_shape,bn2_w16_gmp,raw_logit_fidelity,100,0.06959364225174933,0.044175043965567554,0.060828355144393886,0.07835892935910477,15.754062928832491,1.0001211867219333e-28
single_shape,bn4_w16_gap,agreement,100,0.02019043063832214,0.05990853660827907,0.008303277250033863,0.032077584026610415,3.37020928592202,0.0010719522649034101
single_shape,bn4_w16_gap,centered_logit_error_reduction,100,43.27691610813141,65.172266178739,30.345324575615805,56.208507640647014,6.640388411451241,1.698375509901117e-09
single_shape,bn4_w16_gap,centered_logit_fidelity,100,0.377254372642395,0.47824620074828555,0.2823599507867401,0.47214879449804986,7.888287916393811,4.160936199525487e-12
single_shape,bn4_w16_gap,cf_accuracy,100,0.02018229262990644,0.05991698953247357,0.008293461998070443,0.03207112326174244,3.3683756122239954,0.0010783627272888004
single_shape,bn4_w16_gap,prob_error_reduction,100,0.038334995619952676,0.11606194934225013,0.015305786888047002,0.061364204351858354,3.302977059855185,0.0013319844283717606
single_shape,bn4_w16_gap,prob_fidelity,100,0.019050925091627664,0.05833675977124586,0.007475646327754604,0.030626203855500723,3.265681050221416,0.001500625176389579
single_shape,bn4_w16_gap,raw_logit_error_reduction,100,45.00566478252411,68.01179407021904,31.510649312330788,58.50068025271743,6.617332390328923,1.8922992060002093e-09
single_shape,bn4_w16_gap,raw_logit_fidelity,100,0.39068126275478204,0.49424898084825186,0.29261154214444085,0.48875098336512324,7.904543618568067,3.841179943651254e-12
single_shape,bn4_w16_gmp,agreement,100,0.0021728512678237167,0.022179453329453726,-0.0022280334594984717,0.006573735995145906,0.979668540765262,0.3296377519582729
single_shape,bn4_w16_gmp,centered_logit_error_reduction,100,4.629604053497315,9.939891846832193,2.6573138635553093,6.60189424343932,4.657600027079522,9.96607096172251e-06
single_shape,bn4_w16_gmp,centered_logit_fidelity,100,0.002785044847852308,0.022877867065574396,-0.001754420316913024,0.00732451001261764,1.2173533659713935,0.22636361242900865
single_shape,bn4_w16_gmp,cf_accuracy,100,0.0021549482067348435,0.022183274162249553,-0.002246694656707611,0.0065565910701772985,0.9714292808957984,0.3337020257508939
single_shape,bn4_w16_gmp,prob_error_reduction,100,0.010161498673260211,0.04009170150593132,0.0022064352986590503,0.01811656204786137,2.534564084728826,0.012825663563002992
single_shape,bn4_w16_gmp,prob_fidelity,100,0.0050364927332428,0.020119254353319096,0.0010443961791293428,0.009028589287356257,2.5033197775602076,0.013939316241561634
single_shape,bn4_w16_gmp,raw_logit_error_reduction,100,5.013384552001953,10.670470143250839,2.896131778038447,7.130637325965459,4.698372690891189,8.46967926348124e-06
single_shape,bn4_w16_gmp,raw_logit_fidelity,100,0.003035052947438144,0.023228916049563817,-0.0015740679518140874,0.007644173846690375,1.3065839753186135,0.19438122633535249
single_shape,plain2_w16_gap,agreement,100,0.03327962306284462,0.04824616514097965,0.02370653719066767,0.04285270893502157,6.897879440904486,5.034406095109581e-10
single_shape,plain2_w16_gap,centered_logit_error_reduction,100,85.77575217068195,39.37965830481386,77.96197361507271,93.5895307262912,21.781741097585027,1.520245808855543e-39
single_shape,plain2_w16_gap,centered_logit_fidelity,100,0.04487539124108467,0.08732725840483328,0.027547768594840906,0.06220301388732843,5.1387610307254254,1.391549265786792e-06
single_shape,plain2_w16_gap,cf_accuracy,100,0.031202799690654502,0.04811620739675921,0.021655500254384764,0.04075009912692424,6.484883447558694,3.5125493027803766e-09
single_shape,plain2_w16_gap,prob_error_reduction,100,0.2026047917548567,0.07988274780527634,0.1867543215214035,0.21845526198830992,25.362771977840552,4.212816743665219e-45
single_shape,plain2_w16_gap,prob_fidelity,100,-0.0032417618919825387,0.046512743499200496,-0.012470899303572994,0.005987375519607915,-0.6969620899782576,0.4874598982072337
single_shape,plain2_w16_gap,raw_logit_error_reduction,100,92.45539057374,40.030556809727784,84.5124596334095,100.3983215140705,23.096203985669398,1.1826767615035732e-41
single_shape,plain2_w16_gap,raw_logit_fidelity,100,0.04217580277539973,0.08270745324121423,0.025764849701023905,0.05858675584977555,5.099395655721021,1.6410638242394972e-06
single_shape,plain2_w16_gmp,agreement,100,-0.00339192709478084,0.03296795951348075,-0.00993348550736716,0.0031496313178054794,-1.0288556358466363,0.30605466433172257
single_shape,plain2_w16_gmp,centered_logit_error_reduction,100,86.73874802112579,11.398362477087577,84.47706561638941,89.00043042586216,76.09755190316478,1.1761474147265166e-89
single_shape,plain2_w16_gmp,centered_logit_fidelity,100,0.052513511926498425,0.018813480920328012,0.04878050915045218,0.05624651470254467,27.912703740942188,1.0150915943053201e-48
single_shape,plain2_w16_gmp,cf_accuracy,100,-0.0034261070046341046,0.03298462384220329,-0.009970971981574232,0.0031187579723060232,-1.0386982192140255,0.30147534832533945
single_shape,plain2_w16_gmp,prob_error_reduction,100,-0.020305387154221536,0.05172595195783794,-0.030568938225390203,-0.010041836083052869,-3.9255705087404773,0.00015997531326221768
single_shape,plain2_w16_gmp,prob_fidelity,100,-0.012130494121724183,0.025822593621815645,-0.017254256921557572,-0.007006731321890793,-4.6976280924298806,8.494942073836308e-06
single_shape,plain2_w16_gmp,raw_logit_error_reduction,100,88.90768023490905,11.594514004122594,86.60707711167043,91.20828335814767,76.68081663733095,5.592372052009949e-90
single_shape,plain2_w16_gmp,raw_logit_fidelity,100,0.05208158447229871,0.018603503364773837,0.048390245798770784,0.05577292314582663,27.99557881711484,7.820413480066202e-49
single_shape,plain2_w64_gap,agreement,100,0.026168621153919956,0.05388801264904451,0.015476070335366217,0.0368611719724737,4.8561117524128905,4.48020104926373e-06
single_shape,plain2_w64_gap,centered_logit_error_reduction,100,58.21699551820755,21.763199684729848,53.89870454468743,62.53528649172766,26.750200504319917,4.2021493967586766e-47
single_shape,plain2_w64_gap,centered_logit_fidelity,100,0.04318391525845709,0.05840915402952917,0.031594271903135705,0.05477355861377848,7.393347151822324,4.6661039031846546e-11
single_shape,plain2_w64_gap,cf_accuracy,100,0.023997396760823905,0.05374454742331428,0.013333312555555874,0.03466148096609194,4.4650849083927495,2.12503425712374e-05
single_shape,plain2_w64_gap,prob_error_reduction,100,0.1525119547918439,0.08705398032975223,0.1352385564445074,0.1697853531391804,17.51923969635197,4.249102464851295e-32
single_shape,plain2_w64_gap,prob_fidelity,100,0.02302678649896031,0.04639251843535628,0.01382150434833838,0.03223206864958224,4.963469817023627,2.8855068614422126e-06
single_shape,plain2_w64_gap,raw_logit_error_reduction,100,64.35696442842483,22.44226399311511,59.90393236371318,68.80999649313648,28.67668094812913,9.377101364143947e-50
single_shape,plain2_w64_gap,raw_logit_fidelity,100,0.04144329033254796,0.05470589068838542,0.030588454766995173,0.05229812589810075,7.575654067788858,1.923554129462235e-11
single_shape,plain2_w64_gmp,agreement,100,-0.012683918826514855,0.01782808872349786,-0.016221398412469966,-0.009146439240559745,-7.11457017251498,1.7893399862889807e-10
