task,architecture,block,init_rep,treatment,epoch,test_acc,alignment,pair_count,prob_input_effect_mpp,centered_logit_input_effect_mpp,raw_logit_input_effect_mpp,full_patch_max_logit_error,noop_max_logit_error,checkpoint_sha256
single_shape,bn2_w16_gap,6000,0,release_default,200,1.0,0.8625282584768263,768,1.957676649093628,147.54931640625,147.83132934570312,0.0,0.0,b429ecd98b84370fade319f5afe012e48ac65e581f4d64a72ef0127f45b51d4d
single_shape,bn2_w16_gap,6000,0,retention_1,200,1.0,0.9953042642943943,768,1.892065405845642,147.34017944335938,147.47222900390625,0.0,0.0,42d712b74c25145eab1b7c046d258c13142b77cc8b6794fc67b4efa34bd68108
single_shape,bn2_w16_gap,6000,1,release_default,200,1.0,0.8618101340928292,768,1.963006854057312,177.4423828125,178.2883758544922,0.0,0.0,bc3988f51934c58a86dbd88c0b2f1068911dfe42ef348ed4cd0b0e028e307436
single_shape,bn2_w16_gap,6000,1,retention_1,200,1.0,0.9947676943356849,768,1.9097516536712646,162.32305908203125,162.90045166015625,0.0,0.0,1a6672af580390379e11676057475975c82981c204707b09c3df16cc71cf4bb8
single_shape,bn2_w16_gap,6000,2,release_default,200,1.0,0.8601015001519396,768,1.9669321775436401,145.75929260253906,148.12242126464844,0.0,0.0,3b06afd4460266c60dc11059d317b87c04f38f57c60ced189bf66cde432e396b
single_shape,bn2_w16_gap,6000,2,retention_1,200,1.0,0.9959044283151925,768,1.910377860069275,121.74948120117188,123.24554443359375,0.0,0.0,292f6058b6513551b829b142a015c9d195c4e8cd56d2c5a20f8f5cea89f53ac7
single_shape,bn2_w16_gap,6000,3,release_default,200,1.0,0.8744316361693721,768,1.968457579612732,164.64385986328125,165.08755493164062,0.0,0.0,7ae66feff7963768600ca1acdc273aa60c20d342f44e89d783fd5a645dd21bea
single_shape,bn2_w16_gap,6000,3,retention_1,200,1.0,0.9960104652517918,768,1.9030940532684326,156.44281005859375,157.13430786132812,0.0,0.0,638bab94eba2f68eed2c54549ff827dcb23a01384d3e875cfa1c4d9ff67a715c
single_shape,bn2_w16_gap,6001,0,release_default,200,1.0,0.8827467750292464,768,1.9516017436981201,164.58580017089844,166.5668182373047,0.0,0.0,14305fc05d5edba41f85930e2d4d5507a34022d8a3a306b5270ba55026052026
single_shape,bn2_w16_gap,6001,0,retention_1,200,1.0,0.9953091045785393,768,1.911971092224121,122.13673400878906,123.19566345214844,0.0,0.0,bb67cfb7eb1d89b793c26d53bd749e099c01bc1c08cff45f0038f125168cdf67
single_shape,bn2_w16_gap,6001,1,release_default,200,1.0,0.8455467335686415,768,1.9662513732910156,159.77151489257812,161.31539916992188,0.0,0.0,4a1465474d5d574b4ca6197842160e1edf3923895134a7aab764f6319d1c36aa
single_shape,bn2_w16_gap,6001,1,retention_1,200,0.92578125,0.99524772623435,768,1.5400493144989014,146.77804565429688,147.9782257080078,0.0,0.0,98dc394bd89839489a53e8c779ae1e26263e9531747b5db65302ef434b243e27
single_shape,bn2_w16_gap,6001,2,release_default,200,1.0,0.8584577064812512,768,1.967914342880249,178.0281982421875,178.19100952148438,0.0,0.0,36f0f17f4d705487c87ca2da5e038c08ef16857dcc4a62d3a2e6b5726f5532e9
single_shape,bn2_w16_gap,6001,2,retention_1,200,1.0,0.9960019986402213,768,1.9272594451904297,148.4822235107422,148.81309509277344,0.0,0.0,97a7837af5fb37c8d1e6d0b47b6a53fbba87cef0b8c38dae7d194cdcec74ad32
single_shape,bn2_w16_gap,6001,3,release_default,200,1.0,0.8615335842826207,768,1.9673669338226318,178.74221801757812,178.84251403808594,0.0,0.0,850e5f0e8b81e2b011fe04b804db133f545266ddc7f686666a08ac037908d353
