task,architecture,block,metric,delta
single_shape,bn2_w16_gap,6026,prob_input_effect_mpp,0.20644700527191162
single_shape,bn2_w16_gap,6027,prob_input_effect_mpp,0.1991422474384308
single_shape,bn2_w16_gap,6028,prob_input_effect_mpp,0.18619975447654724
single_shape,bn2_w16_gap,6029,prob_input_effect_mpp,0.07635867595672607
single_shape,bn2_w16_gap,6030,prob_input_effect_mpp,0.13625884056091309
single_shape,bn2_w16_gap,6031,prob_input_effect_mpp,0.23532485961914062
single_shape,bn2_w16_gap,6032,prob_input_effect_mpp,0.14503252506256104
single_shape,bn2_w16_gap,6033,prob_input_effect_mpp,0.26948970556259155
single_shape,bn2_w16_gap,6034,prob_input_effect_mpp,0.23481348156929016
single_shape,bn2_w16_gap,6035,prob_input_effect_mpp,0.2553710341453552
single_shape,bn2_w16_gap,6036,prob_input_effect_mpp,0.12829864025115967
single_shape,bn2_w16_gap,6037,prob_input_effect_mpp,0.30270564556121826
single_shape,bn2_w16_gap,6038,prob_input_effect_mpp,0.3003179132938385
single_shape,bn2_w16_gap,6039,prob_input_effect_mpp,0.19387197494506836
single_shape,bn2_w16_gap,6040,prob_input_effect_mpp,0.00041200965642929077
single_shape,bn2_w16_gap,6041,prob_input_effect_mpp,-0.059464216232299805
single_shape,bn2_w16_gap,6042,prob_input_effect_mpp,0.2204558551311493
single_shape,bn2_w16_gap,6043,prob_input_effect_mpp,0.06928086280822754
single_shape,bn2_w16_gap,6044,prob_input_effect_mpp,0.1898905336856842
single_shape,bn2_w16_gap,6045,prob_input_effect_mpp,0.15664711594581604
single_shape,bn2_w16_gap,6046,prob_input_effect_mpp,0.1881810426712036
single_shape,bn2_w16_gap,6047,prob_input_effect_mpp,0.16461271047592163
single_shape,bn2_w16_gap,6048,prob_input_effect_mpp,0.1556350588798523
single_shape,bn2_w16_gap,6049,prob_input_effect_mpp,0.3998528718948364
single_shape,bn2_w16_gap,6050,prob_input_effect_mpp,0.10920020937919617
single_shape,bn2_w16_gap,6051,prob_input_effect_mpp,0.2248554825782776
single_shape,bn2_w16_gap,6052,prob_input_effect_mpp,0.2652997672557831
single_shape,bn2_w16_gap,6053,prob_input_effect_mpp,0.0864117443561554
single_shape,bn2_w16_gap,6054,prob_input_effect_mpp,0.07073420286178589
single_shape,bn2_w16_gap,6055,prob_input_effect_mpp,0.1700778603553772
single_shape,bn2_w16_gap,6056,prob_input_effect_mpp,0.18738985061645508
single_shape,bn2_w16_gap,6057,prob_input_effect_mpp,0.2465551495552063
single_shape,bn2_w16_gap,6058,prob_input_effect_mpp,0.34394532442092896
single_shape,bn2_w16_gap,6059,prob_input_effect_mpp,0.17739301919937134
single_shape,bn2_w16_gap,6060,prob_input_effect_mpp,0.09630006551742554
single_shape,bn2_w16_gap,6061,prob_input_effect_mpp,0.35610273480415344
single_shape,bn2_w16_gap,6062,prob_input_effect_mpp,0.565583810210228
single_shape,bn2_w16_gap,6063,prob_input_effect_mpp,0.3936331123113632
