task,architecture,metric,n_blocks,mean_within_block_init_sd,median_within_block_init_sd,max_within_block_init_sd
single_shape,bn2_w16_gap,agreement,100,0.11149308746687961,0.10305936452842049,0.26743447680574567
single_shape,bn2_w16_gap,centered_logit_error_reduction,100,98.48109218073316,88.31066375213018,209.57912703266294
single_shape,bn2_w16_gap,centered_logit_fidelity,100,0.7150952949519539,0.6180684162837954,1.6284537158149692
single_shape,bn2_w16_gap,cf_accuracy,100,0.10310226161961701,0.09638062118161601,0.28531526238165955
single_shape,bn2_w16_gap,prob_error_reduction,100,0.21250312140822625,0.19404626121308385,0.47418211248547915
single_shape,bn2_w16_gap,prob_fidelity,100,0.12535572989793972,0.10651341191182959,0.630669551769338
single_shape,bn2_w16_gap,raw_logit_error_reduction,100,99.74647542753156,91.19711577142326,213.6760286423216
single_shape,bn2_w16_gap,raw_logit_fidelity,100,0.7224907569828009,0.6508397052133588,1.6352234965013492
single_shape,bn2_w16_gmp,agreement,100,0.08379146880125407,0.07933173069109398,0.20985527591337158
single_shape,bn2_w16_gmp,centered_logit_error_reduction,100,20.629042718296265,19.782961704496838,54.57743865782161
single_shape,bn2_w16_gmp,centered_logit_fidelity,100,0.07337154376342794,0.06758865032232347,0.29503862552055493
single_shape,bn2_w16_gmp,cf_accuracy,100,0.08378511305193774,0.07888638092704062,0.20985527591337158
single_shape,bn2_w16_gmp,prob_error_reduction,100,0.15124053358736783,0.15240161624165585,0.3512764563662497
single_shape,bn2_w16_gmp,prob_fidelity,100,0.07592078093134756,0.0763708876878261,0.17625674756553106
single_shape,bn2_w16_gmp,raw_logit_error_reduction,100,22.241651601309616,20.120548703477553,58.8275212139859
single_shape,bn2_w16_gmp,raw_logit_fidelity,100,0.07450512741400532,0.06776241662416735,0.29588364491935304
single_shape,bn4_w16_gap,agreement,100,0.11120899750341807,0.10414366322790455,0.21725186253391257
single_shape,bn4_w16_gap,centered_logit_error_reduction,100,104.76697485654034,88.22000441154334,396.0399901186012
single_shape,bn4_w16_gap,centered_logit_fidelity,100,0.7484902892598784,0.6676710135045041,2.6950747410589164
single_shape,bn4_w16_gap,cf_accuracy,100,0.1112135945680374,0.10414366322790455,0.21725186253391257
single_shape,bn4_w16_gap,prob_error_reduction,100,0.2185202619045893,0.20513095159916733,0.4310701278910678
single_shape,bn4_w16_gap,prob_fidelity,100,0.10969109524568228,0.10300858588184937,0.21641975431063123
single_shape,bn4_w16_gap,raw_logit_error_reduction,100,109.7625420284659,91.4754126231392,407.91565607798736
single_shape,bn4_w16_gap,raw_logit_fidelity,100,0.7771450067278036,0.6865499655847425,2.7652345744166196
single_shape,bn4_w16_gmp,agreement,100,0.037676672520694315,0.033896919438842,0.09674634177543835
single_shape,bn4_w16_gmp,centered_logit_error_reduction,100,15.767283901104806,13.09193430203586,88.14458032965169
single_shape,bn4_w16_gmp,centered_logit_fidelity,100,0.03859037562687791,0.03348199575351387,0.18516411640322977
single_shape,bn4_w16_gmp,cf_accuracy,100,0.037632352048791666,0.0333884857173265,0.09674634177543835
single_shape,bn4_w16_gmp,prob_error_reduction,100,0.07171913606152924,0.06747921546747859,0.1797626570756051
single_shape,bn4_w16_gmp,prob_fidelity,100,0.03597232198724586,0.03372552584843537,0.08991234182156498
single_shape,bn4_w16_gmp,raw_logit_error_reduction,100,17.065253535047688,13.516648461621077,86.58860612195305
single_shape,bn4_w16_gmp,raw_logit_fidelity,100,0.0391037963041558,0.031671283025912086,0.17947863379789228
single_shape,plain2_w16_gap,agreement,100,0.09564489482366977,0.089964411444501,0.20905390465638363
single_shape,plain2_w16_gap,centered_logit_error_reduction,100,64.86900970883161,60.055403764352974,188.66177949300064
single_shape,plain2_w16_gap,centered_logit_fidelity,100,0.17110370316310652,0.15814021642614098,0.3929666425074756
single_shape,plain2_w16_gap,cf_accuracy,100,0.09550107851397525,0.09062714853485987,0.2057610128236601
single_shape,plain2_w16_gap,prob_error_reduction,100,0.15715468289696222,0.15221137837785398,0.3550362973833148
single_shape,plain2_w16_gap,prob_fidelity,100,0.09391814329881636,0.08707021929053424,0.21818032860640113
single_shape,plain2_w16_gap,raw_logit_error_reduction,100,66.44105364345616,61.46416730170968,199.6531365393934
single_shape,plain2_w16_gap,raw_logit_fidelity,100,0.1616946906173588,0.14794578009613843,0.37152568734302827
single_shape,plain2_w16_gmp,agreement,100,0.05386656095905537,0.052721736096226074,0.10734803490900559
single_shape,plain2_w16_gmp,centered_logit_error_reduction,100,15.514974801544495,13.43971608163298,49.30059150770076
single_shape,plain2_w16_gmp,centered_logit_fidelity,100,0.031377888347842074,0.028353301654925517,0.09045562774992637
single_shape,plain2_w16_gmp,cf_accuracy,100,0.053908552114043815,0.052721736096226074,0.10734803490900559
single_shape,plain2_w16_gmp,prob_error_reduction,100,0.09042774409603606,0.09140842110926031,0.18655607601062363
single_shape,plain2_w16_gmp,prob_fidelity,100,0.045341966218082265,0.04577137493201423,0.09397945068271493
single_shape,plain2_w16_gmp,raw_logit_error_reduction,100,16.028224074168897,14.953905929731171,48.85617354920782
single_shape,plain2_w16_gmp,raw_logit_fidelity,100,0.031105176254501737,0.02800587731674624,0.08839560776111598
single_shape,plain2_w64_gap,agreement,100,0.08955023643631516,0.08646897405929031,0.1840464593770849
single_shape,plain2_w64_gap,centered_logit_error_reduction,100,35.186559679185024,32.554438900712285,124.65195715772572
single_shape,plain2_w64_gap,centered_logit_fidelity,100,0.09194387996987245,0.0888725287901443,0.28273661571790176
single_shape,plain2_w64_gap,cf_accuracy,100,0.0894938344699636,0.08641005296651139,0.18715937236381425
single_shape,plain2_w64_gap,prob_error_reduction,100,0.13767629277479365,0.135795005345305,0.30357498114664605
single_shape,plain2_w64_gap,prob_fidelity,100,0.07360634617653586,0.07159993723593461,0.16951734072610217
single_shape,plain2_w64_gap,raw_logit_error_reduction,100,36.23721389247648,32.609266317322444,128.74876493471257
single_shape,plain2_w64_gap,raw_logit_fidelity,100,0.08635177021273893,0.08216698778428215,0.257893174257029
single_shape,plain2_w64_gmp,agreement,100,0.029627737603828752,0.028210260003486524,0.0661568602760867
single_shape,plain2_w64_gmp,centered_logit_error_reduction,100,8.672255562208488,8.32507930082021,20.57585723065162
single_shape,plain2_w64_gmp,centered_logit_fidelity,100,0.016252176474402046,0.015117711612463489,0.0453407892008447
single_shape,plain2_w64_gmp,cf_accuracy,100,0.029617243877281,0.028210260003486524,0.0661568602760867
single_shape,plain2_w64_gmp,prob_error_reduction,100,0.04622259937454881,0.043382591512639235,0.09214766744450018
single_shape,plain2_w64_gmp,prob_fidelity,100,0.023136452499453414,0.021724471699448064,0.046164737336985465
single_shape,plain2_w64_gmp,raw_logit_error_reduction,100,8.84308643681526,8.797752567419689,20.708082023364245
single_shape,plain2_w64_gmp,raw_logit_fidelity,100,0.016193865979781376,0.015234814690023926,0.045529527016440884
single_shape,plain4_w16_gap,agreement,100,0.1021293592597855,0.09688370881168237,0.23358669045430097
single_shape,plain4_w16_gap,centered_logit_error_reduction,100,727.1852168230538,610.1274589710192,3707.086161911644
single_shape,plain4_w16_gap,centered_logit_fidelity,100,0.25558575776342846,0.20726055618827238,1.3805949918036566
single_shape,plain4_w16_gap,cf_accuracy,100,0.10273155314449214,0.09653185443771987,0.2344047713438468
single_shape,plain4_w16_gap,prob_error_reduction,100,0.2002351623243511,0.19322250978465416,0.4433458377542366
single_shape,plain4_w16_gap,prob_fidelity,100,0.1057759418012493,0.09825742416724935,0.23344900866658475
single_shape,plain4_w16_gap,raw_logit_error_reduction,100,779.3980755634091,639.5622155378871,3693.6153735316434
single_shape,plain4_w16_gap,raw_logit_fidelity,100,0.24317173009543944,0.19113807800299323,1.3513989563491267
single_shape,plain4_w16_gmp,agreement,100,0.02645090878666845,0.024028879690761375,0.06388921765283034
single_shape,plain4_w16_gmp,centered_logit_error_reduction,100,45.48464682398224,36.901331567512244,187.6860930263845
single_shape,plain4_w16_gmp,centered_logit_fidelity,100,0.020231070698969903,0.01751506384086088,0.06600712332215888
single_shape,plain4_w16_gmp,cf_accuracy,100,0.026466651335761114,0.02405118086428005,0.06388921765283034
