task,metric,family,contrast,block,difference
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6061,-0.04208744328622596
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6062,-0.11101888454544791
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6063,-0.05619155901168901
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6064,-0.09649066596548499
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6065,-0.06461615238801825
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6066,-0.085724619679698
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6067,-0.026531104916878226
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6068,-0.07858139515279777
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6069,-0.07288257522395158
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6070,-0.08022159730917826
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6071,-0.04425419862219794
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6072,-0.044162952428427854
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6073,-0.14114579878349082
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6074,-0.02071037260226763
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6075,-0.04435059868039107
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6076,-0.0436224922030449
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6077,-0.04616689552189644
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6078,-0.0444614683194465
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6079,-0.018989979002124013
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6080,-0.026635710465898355
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6081,-0.026744364273840526
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6082,-0.13055967142828334
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6083,-0.022412265293632716
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6084,-0.03384392913334139
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6085,-0.0700610966356558
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6086,-0.11381177022212993
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6087,-0.0032550011295288256
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6088,-0.056202213749128746
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6089,-0.10215528378498347
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6090,-0.09298220748316993
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6091,-0.08894422830991491
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6092,0.0043193690095717635
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6093,-0.055635952858906504
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6094,-0.05927820968386456
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6095,-0.05035982954961837
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6096,-0.019012615811730013
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6097,-0.07847113999430358
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6098,-0.07670116604884489
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6099,-0.06921327059038765
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6000,-0.10594555227775937
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6001,0.05816244694826947
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6002,0.11438752237260447
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6003,-0.05917482868881435
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6004,-0.029920300155007587
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6005,-0.07644484898038036
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6006,-0.1099669583129342
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6007,-0.016765127741817695
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6008,0.1251619922372294
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6009,0.09324919141906174
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6010,-0.14426186614819933
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6011,-0.13856795525970522
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6012,0.08057264718930497
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6013,-0.040989708833229416
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6014,-0.07851092095237246
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6015,-0.06340456416882755
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6016,0.16011653356290548
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6017,0.16470830156765204
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6018,0.17333565229133102
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6019,-0.11160471468434283
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6020,-0.045235883435116114
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6021,0.007557013401074605
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6022,-0.0018619833605469788
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6023,-0.14260228378586462
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6024,-0.07199227263745318
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6025,-0.13273668276111927
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6026,-0.04219841309754817
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6027,0.011592052641040865
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6028,-0.13960919633924515
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6029,-0.08449503589906489
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6030,-0.05929574109342607
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6031,0.10217735168416736
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6032,0.18488005078597136
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6033,-0.03221229898218962
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6034,-0.037486772897658255
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6035,0.026557369849103007
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6036,0.03296336662768355
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6037,0.009109694979079042
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6038,0.08032182427866554
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6039,-0.05501047306103336
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6040,0.02151200256514578
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6041,-0.039243241033750875
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6042,0.025795329520512167
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6043,-0.029204478283169896
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6044,-0.006584854342828267
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6045,-0.08395218139390581
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6046,0.03892253938772318
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6047,0.135194546615873
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6048,-0.05233217501474381
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6049,-0.0695633757603059
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6050,-0.09191621690267496
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6051,-0.022993966886367026
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6052,0.02428695141898643
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6053,0.09022371313220129
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6054,-0.02185918443754291
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6055,0.09741726852322424
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6056,0.10600083709792898
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6057,-0.09952333162353885
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6058,-0.00843629232580266
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6059,0.15024053624746309
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6060,-0.18467390142241097
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6061,-0.04599548465025402
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6062,-0.0028832850836342794
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6063,0.14195340725063194
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6064,-0.08679854901469669
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6065,0.024814103303899826
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6066,0.22034639947546575
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6067,-0.0907683591488218
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6068,-0.028086980383265375
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6069,-0.00036291732479203087
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6070,-0.03893766448518518
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6071,0.05888647910897293
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6072,-0.04035256039974959
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6073,0.013453322233681037
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6074,-0.12454205603511397
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6075,-0.03489690416370028
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6076,-0.08091640017774959
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6077,0.09579584922625345
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6078,-0.09198886851677085
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6079,0.1460598443414432
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6080,-0.09093057607366356
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6081,-0.09634351418668619
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6082,0.13942526573540776
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6083,0.0565696637713549
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6084,-0.027158564702616947
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6085,0.025836712155057742
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6086,-0.053337438587008554
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6087,-0.0009177197295385103
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6088,0.10632904378583803
