task,metric,contrast,n,mean,sd,ci_low,ci_high,t_stat,p_two_sided,p_holm_two_metric_family
two_concepts,centered_logit_fidelity,tiny_gmp - plain2_w16_gmp,100,0.16225786309904822,0.06328407401057921,0.14970092985732414,0.1748147963407723,25.63960453492983,1.655340500078004e-45,1.655340500078004e-45
two_concepts,prob_error_reduction,tiny_gmp - plain2_w16_gmp,100,0.8895957020599963,0.1384789295805625,0.8621184781088669,0.9170729260111257,64.24050971180122,1.6192013529920536e-82,3.238402705984107e-82
