task,metric,contrast,block,architecture,difference
single_shape,centered_logit_fidelity,structured - pixel_permuted,7014,plain2_w16_gmp,0.031112399770908836
single_shape,centered_logit_fidelity,structured - pixel_permuted,7014,tiny_gap,0.036293804015203754
single_shape,centered_logit_fidelity,structured - pixel_permuted,7014,tiny_gmp,0.05483947267275267
single_shape,centered_logit_fidelity,structured - pixel_permuted,7015,plain2_w16_gap,0.11900580179991416
single_shape,centered_logit_fidelity,structured - pixel_permuted,7015,plain2_w16_gmp,0.030110081762465934
single_shape,centered_logit_fidelity,structured - pixel_permuted,7015,tiny_gap,0.007408292497599528
single_shape,centered_logit_fidelity,structured - pixel_permuted,7015,tiny_gmp,0.04090952011961066
single_shape,centered_logit_fidelity,structured - pixel_permuted,7016,plain2_w16_gap,-0.04117327057002125
single_shape,centered_logit_fidelity,structured - pixel_permuted,7016,plain2_w16_gmp,0.043500038981242675
single_shape,centered_logit_fidelity,structured - pixel_permuted,7016,tiny_gap,0.018144786384827263
single_shape,centered_logit_fidelity,structured - pixel_permuted,7016,tiny_gmp,0.022511868776754485
single_shape,centered_logit_fidelity,structured - pixel_permuted,7017,plain2_w16_gap,-0.15686843903998376
single_shape,centered_logit_fidelity,structured - pixel_permuted,7017,plain2_w16_gmp,-0.03457859071115803
single_shape,centered_logit_fidelity,structured - pixel_permuted,7017,tiny_gap,0.04967231240718736
single_shape,centered_logit_fidelity,structured - pixel_permuted,7017,tiny_gmp,0.11357211972192936
single_shape,centered_logit_fidelity,structured - pixel_permuted,7018,plain2_w16_gap,0.21108051210882367
single_shape,centered_logit_fidelity,structured - pixel_permuted,7018,plain2_w16_gmp,-8.161166754422355e-05
single_shape,centered_logit_fidelity,structured - pixel_permuted,7018,tiny_gap,0.0007211859117265962
single_shape,centered_logit_fidelity,structured - pixel_permuted,7018,tiny_gmp,0.037200473853644056
single_shape,centered_logit_fidelity,structured - pixel_permuted,7019,plain2_w16_gap,0.09318422950819828
single_shape,centered_logit_fidelity,structured - pixel_permuted,7019,plain2_w16_gmp,0.030909651204709815
single_shape,centered_logit_fidelity,structured - pixel_permuted,7019,tiny_gap,-0.007947468899248439
single_shape,centered_logit_fidelity,structured - pixel_permuted,7019,tiny_gmp,0.04265966131300318
single_shape,centered_logit_fidelity,structured - pixel_permuted,7020,plain2_w16_gap,0.11238958847674352
single_shape,centered_logit_fidelity,structured - pixel_permuted,7020,plain2_w16_gmp,-0.019163772846849697
single_shape,centered_logit_fidelity,structured - pixel_permuted,7020,tiny_gap,0.0290433733906921
single_shape,centered_logit_fidelity,structured - pixel_permuted,7020,tiny_gmp,0.08126441388908534
single_shape,centered_logit_fidelity,structured - pixel_permuted,7021,plain2_w16_gap,-0.11489081164762878
single_shape,centered_logit_fidelity,structured - pixel_permuted,7021,plain2_w16_gmp,0.03612139833141738
single_shape,centered_logit_fidelity,structured - pixel_permuted,7021,tiny_gap,0.018954667393469585
single_shape,centered_logit_fidelity,structured - pixel_permuted,7021,tiny_gmp,0.09536061664519314
single_shape,centered_logit_fidelity,structured - pixel_permuted,7022,plain2_w16_gap,0.05722215807702832
single_shape,centered_logit_fidelity,structured - pixel_permuted,7022,plain2_w16_gmp,0.07778801637991224
single_shape,centered_logit_fidelity,structured - pixel_permuted,7022,tiny_gap,0.014357957555395914
single_shape,centered_logit_fidelity,structured - pixel_permuted,7022,tiny_gmp,0.04763604433170465
single_shape,centered_logit_fidelity,structured - pixel_permuted,7023,plain2_w16_gap,-0.17581939355674286
single_shape,centered_logit_fidelity,structured - pixel_permuted,7023,plain2_w16_gmp,0.014634897152043469
single_shape,centered_logit_fidelity,structured - pixel_permuted,7023,tiny_gap,-0.01612098136179503
single_shape,centered_logit_fidelity,structured - pixel_permuted,7023,tiny_gmp,0.032045695291640836
single_shape,centered_logit_fidelity,structured - pixel_permuted,7024,plain2_w16_gap,0.18731895223441936
single_shape,centered_logit_fidelity,structured - pixel_permuted,7024,plain2_w16_gmp,0.07012325577445137
single_shape,centered_logit_fidelity,structured - pixel_permuted,7024,tiny_gap,0.058244236493396565
single_shape,centered_logit_fidelity,structured - pixel_permuted,7024,tiny_gmp,0.05197716759999897
single_shape,centered_logit_fidelity,structured - pixel_permuted,7025,plain2_w16_gap,-0.12034712732820262
single_shape,centered_logit_fidelity,structured - pixel_permuted,7025,plain2_w16_gmp,0.06897773711424206
single_shape,centered_logit_fidelity,structured - pixel_permuted,7025,tiny_gap,-0.0006019957969928269
single_shape,centered_logit_fidelity,structured - pixel_permuted,7025,tiny_gmp,0.055888779953910006
single_shape,centered_logit_fidelity,structured - pixel_permuted,7026,plain2_w16_gap,0.1561857544255354
single_shape,centered_logit_fidelity,structured - pixel_permuted,7026,plain2_w16_gmp,0.02416476533814231
single_shape,centered_logit_fidelity,structured - pixel_permuted,7026,tiny_gap,0.02291400666857389
single_shape,centered_logit_fidelity,structured - pixel_permuted,7026,tiny_gmp,0.029022029550216738
single_shape,centered_logit_fidelity,structured - pixel_permuted,7027,plain2_w16_gap,-0.03771975579284437
single_shape,centered_logit_fidelity,structured - pixel_permuted,7027,plain2_w16_gmp,0.07368387562790572
single_shape,centered_logit_fidelity,structured - pixel_permuted,7027,tiny_gap,0.000373156964580193
single_shape,centered_logit_fidelity,structured - pixel_permuted,7027,tiny_gmp,0.06526798048712103
single_shape,centered_logit_fidelity,structured - pixel_permuted,7028,plain2_w16_gap,-0.16553617482493585
single_shape,centered_logit_fidelity,structured - pixel_permuted,7028,plain2_w16_gmp,0.029079113279849286
single_shape,centered_logit_fidelity,structured - pixel_permuted,7028,tiny_gap,-0.021219295000807367
single_shape,centered_logit_fidelity,structured - pixel_permuted,7028,tiny_gmp,0.062136986734944166
single_shape,centered_logit_fidelity,structured - pixel_permuted,7029,plain2_w16_gap,0.2317630918912435
single_shape,centered_logit_fidelity,structured - pixel_permuted,7029,plain2_w16_gmp,0.06011121771300215
single_shape,centered_logit_fidelity,structured - pixel_permuted,7029,tiny_gap,0.04280440038783277
single_shape,centered_logit_fidelity,structured - pixel_permuted,7029,tiny_gmp,0.019308995378957472
single_shape,centered_logit_fidelity,structured - pixel_permuted,7030,plain2_w16_gap,-0.16323150657180768
single_shape,centered_logit_fidelity,structured - pixel_permuted,7030,plain2_w16_gmp,0.0632932204229345
single_shape,centered_logit_fidelity,structured - pixel_permuted,7030,tiny_gap,0.03275184046471051
single_shape,centered_logit_fidelity,structured - pixel_permuted,7030,tiny_gmp,0.0647486438321936
single_shape,centered_logit_fidelity,structured - pixel_permuted,7031,plain2_w16_gap,-0.09258568942316521
single_shape,centered_logit_fidelity,structured - pixel_permuted,7031,plain2_w16_gmp,-0.006384418735619998
single_shape,centered_logit_fidelity,structured - pixel_permuted,7031,tiny_gap,-0.001492415575622269
single_shape,centered_logit_fidelity,structured - pixel_permuted,7031,tiny_gmp,0.05803218700258371
single_shape,centered_logit_fidelity,structured - pixel_permuted,7032,plain2_w16_gap,0.007241421929409922
single_shape,centered_logit_fidelity,structured - pixel_permuted,7032,plain2_w16_gmp,0.025622876953536988
single_shape,centered_logit_fidelity,structured - pixel_permuted,7032,tiny_gap,-0.012637649562815267
single_shape,centered_logit_fidelity,structured - pixel_permuted,7032,tiny_gmp,-0.0014279555710845215
single_shape,centered_logit_fidelity,structured - pixel_permuted,7033,plain2_w16_gap,-0.04900094609012627
single_shape,centered_logit_fidelity,structured - pixel_permuted,7033,plain2_w16_gmp,0.06764379643531884
single_shape,centered_logit_fidelity,structured - pixel_permuted,7033,tiny_gap,-0.008971889813967265
single_shape,centered_logit_fidelity,structured - pixel_permuted,7033,tiny_gmp,0.07364044083229572
single_shape,centered_logit_fidelity,structured - pixel_permuted,7034,plain2_w16_gap,0.05786863838591909
single_shape,centered_logit_fidelity,structured - pixel_permuted,7034,plain2_w16_gmp,0.06717189652303782
single_shape,centered_logit_fidelity,structured - pixel_permuted,7034,tiny_gap,0.005968646699987257
single_shape,centered_logit_fidelity,structured - pixel_permuted,7034,tiny_gmp,0.020273938053161022
single_shape,centered_logit_fidelity,structured - pixel_permuted,7035,plain2_w16_gap,-0.013355250900656576
single_shape,centered_logit_fidelity,structured - pixel_permuted,7035,plain2_w16_gmp,-0.0005414429572073443
single_shape,centered_logit_fidelity,structured - pixel_permuted,7035,tiny_gap,0.018056759246272217
single_shape,centered_logit_fidelity,structured - pixel_permuted,7035,tiny_gmp,0.036943758929249684
single_shape,centered_logit_fidelity,structured - pixel_permuted,7036,plain2_w16_gap,0.1884126235338704
single_shape,centered_logit_fidelity,structured - pixel_permuted,7036,plain2_w16_gmp,0.002528291615114142
single_shape,centered_logit_fidelity,structured - pixel_permuted,7036,tiny_gap,0.028228111068852646
single_shape,centered_logit_fidelity,structured - pixel_permuted,7036,tiny_gmp,0.06464301001619704
single_shape,centered_logit_fidelity,structured - pixel_permuted,7037,plain2_w16_gap,-0.005295828010126777
single_shape,centered_logit_fidelity,structured - pixel_permuted,7037,plain2_w16_gmp,0.022297614113477734
single_shape,centered_logit_fidelity,structured - pixel_permuted,7037,tiny_gap,0.00794051918838097
single_shape,centered_logit_fidelity,structured - pixel_permuted,7037,tiny_gmp,0.037375080267564115
single_shape,centered_logit_fidelity,structured - pixel_permuted,7038,plain2_w16_gap,-0.12433775218759663
single_shape,centered_logit_fidelity,structured - pixel_permuted,7038,plain2_w16_gmp,0.028864676776085563
single_shape,centered_logit_fidelity,structured - pixel_permuted,7038,tiny_gap,0.07761406311618074
single_shape,centered_logit_fidelity,structured - pixel_permuted,7038,tiny_gmp,0.058110867024402074
single_shape,centered_logit_fidelity,structured - pixel_permuted,7039,plain2_w16_gap,-0.0035098052610153807
single_shape,centered_logit_fidelity,structured - pixel_permuted,7039,plain2_w16_gmp,0.03540008924746085
single_shape,centered_logit_fidelity,structured - pixel_permuted,7039,tiny_gap,0.0007147249510877224
single_shape,centered_logit_fidelity,structured - pixel_permuted,7039,tiny_gmp,0.006592044522441443
single_shape,centered_logit_fidelity,structured - pixel_permuted,7040,plain2_w16_gap,-0.0037209574071966622
single_shape,centered_logit_fidelity,structured - pixel_permuted,7040,plain2_w16_gmp,0.057918666854947815
single_shape,centered_logit_fidelity,structured - pixel_permuted,7040,tiny_gap,-0.012434738357673933
single_shape,centered_logit_fidelity,structured - pixel_permuted,7040,tiny_gmp,0.08971113286640338
single_shape,centered_logit_fidelity,structured - pixel_permuted,7041,plain2_w16_gap,-0.08799872946168656
single_shape,centered_logit_fidelity,structured - pixel_permuted,7041,plain2_w16_gmp,0.01616989924128151
single_shape,centered_logit_fidelity,structured - pixel_permuted,7041,tiny_gap,0.00674998447121912
single_shape,centered_logit_fidelity,structured - pixel_permuted,7041,tiny_gmp,0.07312973319057921
single_shape,centered_logit_fidelity,structured - pixel_permuted,7042,plain2_w16_gap,-0.04478234682725776
single_shape,centered_logit_fidelity,structured - pixel_permuted,7042,plain2_w16_gmp,0.07690287791423273
single_shape,centered_logit_fidelity,structured - pixel_permuted,7042,tiny_gap,0.018097025391776336
single_shape,centered_logit_fidelity,structured - pixel_permuted,7042,tiny_gmp,0.07728731530242589
single_shape,centered_logit_fidelity,structured - pixel_permuted,7043,plain2_w16_gap,0.020325757571629813
single_shape,centered_logit_fidelity,structured - pixel_permuted,7043,plain2_w16_gmp,0.042878586812149136
single_shape,centered_logit_fidelity,structured - pixel_permuted,7043,tiny_gap,0.008842250549721847
single_shape,centered_logit_fidelity,structured - pixel_permuted,7043,tiny_gmp,-0.03695011699177431
single_shape,centered_logit_fidelity,structured - pixel_permuted,7044,plain2_w16_gap,-0.03339019823472733
single_shape,centered_logit_fidelity,structured - pixel_permuted,7044,plain2_w16_gmp,0.04300439067308827
single_shape,centered_logit_fidelity,structured - pixel_permuted,7044,tiny_gap,-0.053356246876474125
single_shape,centered_logit_fidelity,structured - pixel_permuted,7044,tiny_gmp,0.03135977096317283
single_shape,centered_logit_fidelity,structured - pixel_permuted,7045,plain2_w16_gap,-0.026156028437742118
single_shape,centered_logit_fidelity,structured - pixel_permuted,7045,plain2_w16_gmp,0.050652401635711816
single_shape,centered_logit_fidelity,structured - pixel_permuted,7045,tiny_gap,0.10105122413193628
single_shape,centered_logit_fidelity,structured - pixel_permuted,7045,tiny_gmp,0.07818231823053245
single_shape,centered_logit_fidelity,structured - pixel_permuted,7046,plain2_w16_gap,-0.014269624573126014
single_shape,centered_logit_fidelity,structured - pixel_permuted,7046,plain2_w16_gmp,0.03203094812222454
single_shape,centered_logit_fidelity,structured - pixel_permuted,7046,tiny_gap,0.022463964165295752
single_shape,centered_logit_fidelity,structured - pixel_permuted,7046,tiny_gmp,0.04866268882006117
