task,architecture,anchor_family,metric,value_kind,n,mean,sd,ci_low,ci_high
single_shape,plain2_w16_gap,pixel_permuted_template,centered_logit_fidelity,selected,100,0.019214453858168258,0.045947385871043314,0.01009749566552762,0.028331412050808896
single_shape,plain2_w16_gap,pixel_permuted_template,prob_error_reduction,selected,100,0.1629466599691659,0.059331161964277776,0.151174070236482,0.17471924970184982
single_shape,plain2_w16_gap,random_fullrank,centered_logit_fidelity,selected,100,0.012868747785400819,0.04226328432847629,0.004482795265972896,0.02125470030482874
single_shape,plain2_w16_gap,random_fullrank,prob_error_reduction,selected,100,0.1416151363030076,0.06303845887958598,0.12910693843193183,0.15412333417408336
single_shape,plain2_w16_gap,random_rank10,centered_logit_fidelity,selected,100,0.020962954484121412,0.04872783618179929,0.011294294627516202,0.030631614340726622
single_shape,plain2_w16_gap,random_rank10,prob_error_reduction,selected,100,0.14585089430212975,0.058288337866369014,0.13428522349470517,0.15741656510955432
single_shape,plain2_w16_gap,structured_template,centered_logit_fidelity,selected,100,0.03754840011237631,0.09765246378530504,0.018172032711678214,0.05692476751307441
single_shape,plain2_w16_gap,structured_template,prob_error_reduction,selected,100,0.20872268062084914,0.08670403852373385,0.1915187183198697,0.2259266429218286
single_shape,plain2_w16_gmp,pixel_permuted_template,centered_logit_fidelity,selected,100,0.010706689869644338,0.020459404577952704,0.006647100131350487,0.014766279607938188
single_shape,plain2_w16_gmp,pixel_permuted_template,prob_error_reduction,selected,100,-0.017511612698435784,0.04877487604547706,-0.02718960628453197,-0.0078336191123396
single_shape,plain2_w16_gmp,random_fullrank,centered_logit_fidelity,selected,100,0.015336142729170176,0.016926486696386838,0.011977560545792902,0.01869472491254745
single_shape,plain2_w16_gmp,random_fullrank,prob_error_reduction,selected,100,-0.026500382535159586,0.03992200938313679,-0.034421775311100786,-0.018578989759218383
single_shape,plain2_w16_gmp,random_rank10,centered_logit_fidelity,selected,100,0.01236927789874395,0.016124502314097188,0.009169826815991346,0.015568728981496555
single_shape,plain2_w16_gmp,random_rank10,prob_error_reduction,selected,100,-0.023702405840158463,0.038898404505484284,-0.0314206932011032,-0.015984118479213723
single_shape,plain2_w16_gmp,structured_template,centered_logit_fidelity,selected,100,0.051860216440719996,0.017671790402739675,0.04835374983252017,0.05536668304891982
single_shape,plain2_w16_gmp,structured_template,prob_error_reduction,selected,100,-0.015082993172109127,0.0471662914265042,-0.0244418086713026,-0.005724177672915654
