task,architecture,anchor_family,block,metric,value_kind,B,init_reps
single_shape,plain2_w16_gap,pixel_permuted_template,7027,centered_logit_fidelity,random,0.0028198732830499278,4
single_shape,plain2_w16_gap,pixel_permuted_template,7027,prob_error_reduction,random,0.131665859837085,4
single_shape,plain2_w16_gap,pixel_permuted_template,7028,centered_logit_fidelity,random,0.0020023642310116312,4
single_shape,plain2_w16_gap,pixel_permuted_template,7028,prob_error_reduction,random,0.0837011719122529,4
single_shape,plain2_w16_gap,pixel_permuted_template,7029,centered_logit_fidelity,random,0.014873280978131748,4
single_shape,plain2_w16_gap,pixel_permuted_template,7029,prob_error_reduction,random,0.07874202192761004,4
single_shape,plain2_w16_gap,pixel_permuted_template,7030,centered_logit_fidelity,random,-0.0036675297359566716,4
single_shape,plain2_w16_gap,pixel_permuted_template,7030,prob_error_reduction,random,0.12566798785701394,4
single_shape,plain2_w16_gap,pixel_permuted_template,7031,centered_logit_fidelity,random,0.001579509291207844,4
single_shape,plain2_w16_gap,pixel_permuted_template,7031,prob_error_reduction,random,0.0710618644952774,4
single_shape,plain2_w16_gap,pixel_permuted_template,7032,centered_logit_fidelity,random,0.008550229238316494,4
single_shape,plain2_w16_gap,pixel_permuted_template,7032,prob_error_reduction,random,0.10412729438394308,4
single_shape,plain2_w16_gap,pixel_permuted_template,7033,centered_logit_fidelity,random,0.0003220337514197001,4
single_shape,plain2_w16_gap,pixel_permuted_template,7033,prob_error_reduction,random,0.09580053761601448,4
single_shape,plain2_w16_gap,pixel_permuted_template,7034,centered_logit_fidelity,random,0.012347327613597171,4
single_shape,plain2_w16_gap,pixel_permuted_template,7034,prob_error_reduction,random,0.10478504374623299,4
single_shape,plain2_w16_gap,pixel_permuted_template,7035,centered_logit_fidelity,random,-0.011111406964795735,4
single_shape,plain2_w16_gap,pixel_permuted_template,7035,prob_error_reduction,random,0.08950880635529757,4
single_shape,plain2_w16_gap,pixel_permuted_template,7036,centered_logit_fidelity,random,0.005801621647254037,4
single_shape,plain2_w16_gap,pixel_permuted_template,7036,prob_error_reduction,random,0.13358013052493334,4
single_shape,plain2_w16_gap,pixel_permuted_template,7037,centered_logit_fidelity,random,0.02008328079379689,4
single_shape,plain2_w16_gap,pixel_permuted_template,7037,prob_error_reduction,random,0.09056324185803533,4
single_shape,plain2_w16_gap,pixel_permuted_template,7038,centered_logit_fidelity,random,0.0006990210300054384,4
single_shape,plain2_w16_gap,pixel_permuted_template,7038,prob_error_reduction,random,0.09839590638875961,4
