task,architecture,anchor_family,block,init_rep,treatment,anchor_rank,anchor_max_abs_row_mean,anchor_max_abs_row_norm_error,anchor_max_abs_gram_error_vs_structured,anchor_sha256
single_shape,plain2_w16_gap,pixel_permuted_template,7005,1,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,6a5e1a641aef04f63743b8613e62f586e190e3fbd71c7b5751c161f41cefa758
single_shape,plain2_w16_gap,pixel_permuted_template,7005,2,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,008e2c99c4aab6d1b39620fffe6a5ed6e9c63e957940fc5ad10928beb36652b5
single_shape,plain2_w16_gap,pixel_permuted_template,7005,3,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,3.3306690738754696e-16,8125c95abd06d1b043ff24656e82d9e32307f044790acb96e5a3d31511b01432
single_shape,plain2_w16_gap,pixel_permuted_template,7006,0,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,77cfc07b8af0ab62eaacffb1d42ec3e418162762a14fb8d116572f06815ec71b
single_shape,plain2_w16_gap,pixel_permuted_template,7006,1,release_default,10,1.437226195394257e-09,1.219202161450994e-08,6.661338147750939e-16,19a0cad762c45a1f203a3828874f4f42c64a66c773914565fa6fceae98eed1ca
single_shape,plain2_w16_gap,pixel_permuted_template,7006,2,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,d988f3e58f7399a0162d8cfac319dac6ebbddfe6b8328a6e0565a9af65db9e5e
single_shape,plain2_w16_gap,pixel_permuted_template,7006,3,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,3.3306690738754696e-16,f1f9fac25ab79e4d7b1c902eb20bbdb5cd2c60ac48d763003fff625d08b36e85
single_shape,plain2_w16_gap,pixel_permuted_template,7007,0,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,c3389e1775b86c44be11b75754c5e170bd3796a3e9c55c85e5aac8cf9a2bd1d3
single_shape,plain2_w16_gap,pixel_permuted_template,7007,1,release_default,10,1.437226195394257e-09,1.219202117042073e-08,4.440892098500626e-16,8e9309023202bddb0781ef260c979dc15064c3d595a5f38379e1d5af8c6617d7
single_shape,plain2_w16_gap,pixel_permuted_template,7007,2,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,3.3306690738754696e-16,bc1ae63a473ddb98c2a3483e2f83cc959398c4c5f996444bb0c9c58f89610d07
single_shape,plain2_w16_gap,pixel_permuted_template,7007,3,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,3.3306690738754696e-16,6d90d033200c3691a0940157449affe737151965c6066673f675d436673d4ead
single_shape,plain2_w16_gap,pixel_permuted_template,7008,0,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,5.551115123125783e-16,024885514c9bd7314f2ec551d164b31c0d796d9c6694e8e0e47e25acef42a54e
single_shape,plain2_w16_gap,pixel_permuted_template,7008,1,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,3.3306690738754696e-16,2a7502b714bdf96f27ca570fbde2c3c6204367cd1195b8d26194181a5885a3ea
single_shape,plain2_w16_gap,pixel_permuted_template,7008,2,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,b460579d8d84225141dc35b5673d4aa210c73b4213572ca0fb18b4462434ec0c
single_shape,plain2_w16_gap,pixel_permuted_template,7008,3,release_default,10,1.437226195394257e-09,1.219202161450994e-08,4.440892098500626e-16,d476ad4772266b9d19570b994b05d0cc5f7de0e4ab1f5a388ae0a4712c8b9d0e
single_shape,plain2_w16_gap,pixel_permuted_template,7009,0,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,c3a9fc4736878ce74f4e0c47f356f71ee8b6f19a2f920ed79dbe676e777ac559
single_shape,plain2_w16_gap,pixel_permuted_template,7009,1,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,f7c02882c41b7fb01f6761470b273a572f25a00ea8a5b7bb4686ec9e0ca52fac
single_shape,plain2_w16_gap,pixel_permuted_template,7009,2,release_default,10,1.437226195394257e-09,1.219202161450994e-08,6.661338147750939e-16,9742581b8666554c1b11f18617d68d39776e38d782b5c73b740e3d48a1c4a752
single_shape,plain2_w16_gap,pixel_permuted_template,7009,3,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,990a9f173006490369ab80063c3b36efaa8a897e1001f15d6339dac49b01557f
single_shape,plain2_w16_gap,pixel_permuted_template,7010,0,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,6.661338147750939e-16,97679f557fae535f9c8f392aa0144e96933d95d03c23d74d306cc4b1d1c0b38f
single_shape,plain2_w16_gap,pixel_permuted_template,7010,1,release_default,10,1.437226195394257e-09,1.219202161450994e-08,4.440892098500626e-16,e10c3865bf3e3eb2450722c3db43ff5c482d2b7f09723d9275c588a24a5cf77e
single_shape,plain2_w16_gap,pixel_permuted_template,7010,2,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,411e7031ced14973cb5c8a68739781e33c3bc36585306891250cbf18ce2f8bab
single_shape,plain2_w16_gap,pixel_permuted_template,7010,3,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,eca6780bbfd874029663bb34a50b0300c84391ae67df907e6273a27681b16466
single_shape,plain2_w16_gap,pixel_permuted_template,7011,0,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,baa2cb68d1cbf7320588216eda12d13f583729a3d7669ee6210ae6c2f0aad6a0
single_shape,plain2_w16_gap,pixel_permuted_template,7011,1,release_default,10,1.437226195394257e-09,1.219202161450994e-08,5.551115123125783e-16,5a9a438c735378ef41f47a2d9eb6cdc7eea6b6aa97c7ee883c04922cb88d4e8d
single_shape,plain2_w16_gap,pixel_permuted_template,7011,2,release_default,10,1.437226195394257e-09,1.219202161450994e-08,4.440892098500626e-16,f7e7ebd27b43c2e4b4bc8974c017ca2bfe2c8fffb7434252797858c4ff520d5f
single_shape,plain2_w16_gap,pixel_permuted_template,7011,3,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,a4fda85a7f26ff3913682a1f2341c401344854a2e7e16f67ff3e02f2565e4855
single_shape,plain2_w16_gap,pixel_permuted_template,7012,0,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,a6a0d3b8c4524de4f3eed21cbae8a37609c73ae901eba606cc537b7251ab4df3
single_shape,plain2_w16_gap,pixel_permuted_template,7012,1,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,2bae5b97f8ccf858cadb0128f222f8b0b9d71c7a6d14eed9a2c6bbcb4f5888dd
single_shape,plain2_w16_gap,pixel_permuted_template,7012,2,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,3.3306690738754696e-16,c7c1892f8dbdf0d09b9e7cf370cd85de3f6f8309baca7ad99e15d4dcd08b6ff7
