task,metric,value_kind,contrast,n,mean,sd,ci_low,ci_high,t_stat,p_two_sided,p_signflip,equivalence_margin,equivalence_ci90_low,equivalence_ci90_high,equivalence_p_lower,equivalence_p_upper,equivalence_p_tost,equivalent_at_alpha_0_05
two_concepts,centered_logit_fidelity,random,structured - pixel_permuted averaged over architectures,100,0.005708863428170481,0.0090182620899327,0.00391944457690112,0.007498282279439841,6.33033656733421,7.187309780914388e-09,9.99990000099999e-06,0.017040331170505053,0.004211479166493725,0.0072062476898472365,3.3545087793064384e-45,1.611938287274875e-22,1.611938287274875e-22,True
two_concepts,prob_error_reduction,random,structured - pixel_permuted averaged over architectures,100,0.020067892768553294,0.014327659089621704,0.017224974364335434,0.022910811172771155,14.006400238186536,3.193684936752843e-25,9.99990000099999e-06,0.06593636028899892,0.01768894092466986,0.022446844612436727,5.6609991843752055e-80,2.4813357493966073e-54,2.4813357493966073e-54,True
