task,metric,value_kind,contrast,F,df1,df2,partial_eta_squared,p_permutation
two_concepts,centered_logit_fidelity,random,(structured - pixel_permuted) x architecture,7.253795298076539,3,297,0.0682685759857074,7.999920000799993e-05
two_concepts,prob_error_reduction,random,(structured - pixel_permuted) x architecture,40.63170746548434,3,297,0.29099198314629304,9.99990000099999e-06
