task,metric,contrast,architecture,n,mean,sd,ci_low,ci_high,t_stat,p_two_sided,p_holm_within_task_metric_contrast
single_shape,centered_logit_fidelity,structured - pixel_permuted,plain2_w16_gap,100,0.01833394625420805,0.10843747689623663,-0.0031824017302692666,0.03985029423868537,1.6907389196957918,0.0940328501522067,0.0940328501522067
single_shape,centered_logit_fidelity,structured - pixel_permuted,plain2_w16_gmp,100,0.04115352657107565,0.027690194504167112,0.03565919123828631,0.04664786190386499,14.862129828984202,5.86704837898743e-27,2.346819351594972e-26
single_shape,centered_logit_fidelity,structured - pixel_permuted,tiny_gap,100,0.016253285826440526,0.03108241964140323,0.010085859431561036,0.022420712221320017,5.229092848611565,9.507593169677463e-07,1.9015186339354927e-06
single_shape,centered_logit_fidelity,structured - pixel_permuted,tiny_gmp,100,0.04634910657135777,0.03279778535816645,0.0398413144031411,0.052856898739574436,14.131779345832298,1.7685872122800813e-25,5.305761636840244e-25
single_shape,centered_logit_fidelity,pixel_permuted - random_rank10,plain2_w16_gap,100,-0.0017485006259531587,0.06968924470812006,-0.015576358695263743,0.012079357443357424,-0.2508996378532176,0.8024117086098896,1.0
single_shape,centered_logit_fidelity,pixel_permuted - random_rank10,plain2_w16_gmp,100,-0.0016625880290996175,0.02642777263879897,-0.00690643147535728,0.0035812554171580453,-0.6291063767737843,0.5307284085680251,1.0
single_shape,centered_logit_fidelity,pixel_permuted - random_rank10,tiny_gap,100,-0.0003920166407515388,0.0314123759534513,-0.006624913526395901,0.005840880244892824,-0.12479687666175013,0.9009374162924595,1.0
single_shape,centered_logit_fidelity,pixel_permuted - random_rank10,tiny_gmp,100,0.0027215942875282715,0.028494379357296446,-0.002932308767039898,0.00837549734209644,0.9551337312533403,0.34183653546846277,1.0
single_shape,centered_logit_fidelity,random_rank10 - random_fullrank,plain2_w16_gap,100,0.008094206698720593,0.06142773610172867,-0.004094388828342104,0.02028280222578329,1.317679473864382,0.1906521485929937,0.7626085943719748
single_shape,centered_logit_fidelity,random_rank10 - random_fullrank,plain2_w16_gmp,100,-0.0029668648304262218,0.025206111612103038,-0.00796830422485763,0.0020345745640051867,-1.1770418524218718,0.24200094870948838,0.7626085943719748
single_shape,centered_logit_fidelity,random_rank10 - random_fullrank,tiny_gap,100,0.0032992481745488886,0.03235697732321915,-0.0031210781161339846,0.009719574465231761,1.0196404137482182,0.310384318182215,0.7626085943719748
single_shape,centered_logit_fidelity,random_rank10 - random_fullrank,tiny_gmp,100,-0.0005656567327345308,0.027422295987107187,-0.0060068351876383565,0.0048755217221692956,-0.2062762115179848,0.8369987816659038,0.8369987816659038
single_shape,centered_logit_fidelity,structured - random_fullrank,plain2_w16_gap,100,0.024679652326975488,0.10723856592146261,0.0034011942904571303,0.04595811036349384,2.301378437403752,0.023466340365749162,0.023466340365749162
single_shape,centered_logit_fidelity,structured - random_fullrank,plain2_w16_gmp,100,0.036524073711549816,0.024253012324144525,0.03171174989348963,0.041336397529610006,15.059602998341417,2.3617817169529787e-27,9.447126867811915e-27
single_shape,centered_logit_fidelity,structured - random_fullrank,tiny_gap,100,0.019160517360237876,0.02634350544616009,0.01393339435318988,0.02438764036728587,7.273336268552965,8.336677741704051e-11,1.6673355483408103e-10
single_shape,centered_logit_fidelity,structured - random_fullrank,tiny_gmp,100,0.04850504412615151,0.03247729511247477,0.0420608441757668,0.05494924407653622,14.935062774830767,4.190130133915853e-27,1.2570390401747558e-26
single_shape,prob_error_reduction,structured - pixel_permuted,plain2_w16_gap,100,0.04577602065168321,0.107179150070427,0.02450935200904663,0.06704268929431978,4.270981867425144,4.473381337816043e-05,8.946762675632086e-05
single_shape,prob_error_reduction,structured - pixel_permuted,plain2_w16_gmp,100,0.0024286195263266562,0.06468936891884494,-0.010407154713293306,0.015264393765946618,0.375427920679431,0.7081454169174649,0.7081454169174649
single_shape,prob_error_reduction,structured - pixel_permuted,tiny_gap,100,0.08063968347385525,0.04685791528947169,0.07134205649051824,0.08993731045719226,17.209404852028033,1.613264505016626e-31,6.453058020066504e-31
single_shape,prob_error_reduction,structured - pixel_permuted,tiny_gmp,100,0.04754452198278159,0.05727536150268771,0.036179847662594286,0.0589091963029689,8.301042670948574,5.413128594866243e-13,1.623938578459873e-12
single_shape,prob_error_reduction,pixel_permuted - random_rank10,plain2_w16_gap,100,0.017095765667036175,0.08493360163145038,0.00024309645539501504,0.03394843487867734,2.0128388928117373,0.04684699643395399,0.14054098930186198
single_shape,prob_error_reduction,pixel_permuted - random_rank10,plain2_w16_gmp,100,0.006190793141722679,0.061569777949516895,-0.006025986569561624,0.01840757285300698,1.0054921989159542,0.31711120071587834,0.6342224014317567
single_shape,prob_error_reduction,pixel_permuted - random_rank10,tiny_gap,100,-0.0036394804320298135,0.04259308479133716,-0.012090872518362694,0.004811911654303067,-0.8544768358196101,0.39490384518696153,0.6342224014317567
