task,architecture,anchor_family,block,metric,value_kind,B,init_reps
single_shape,plain2_w16_gap,pixel_permuted_template,7026,prob_error_reduction,selected,0.19388754665851593,4
single_shape,plain2_w16_gap,pixel_permuted_template,7027,centered_logit_fidelity,selected,-0.006270268082551045,4
single_shape,plain2_w16_gap,pixel_permuted_template,7027,prob_error_reduction,selected,0.16793596744537354,4
single_shape,plain2_w16_gap,pixel_permuted_template,7028,centered_logit_fidelity,selected,-0.02531078151450991,4
single_shape,plain2_w16_gap,pixel_permuted_template,7028,prob_error_reduction,selected,0.12374181859195232,4
single_shape,plain2_w16_gap,pixel_permuted_template,7029,centered_logit_fidelity,selected,-0.012062708288179638,4
single_shape,plain2_w16_gap,pixel_permuted_template,7029,prob_error_reduction,selected,0.14174947887659073,4
single_shape,plain2_w16_gap,pixel_permuted_template,7030,centered_logit_fidelity,selected,0.028593651592425884,4
single_shape,plain2_w16_gap,pixel_permuted_template,7030,prob_error_reduction,selected,0.19902729243040085,4
single_shape,plain2_w16_gap,pixel_permuted_template,7031,centered_logit_fidelity,selected,-0.04987583810813155,4
single_shape,plain2_w16_gap,pixel_permuted_template,7031,prob_error_reduction,selected,0.10621597245335579,4
single_shape,plain2_w16_gap,pixel_permuted_template,7032,centered_logit_fidelity,selected,0.007571953400231576,4
single_shape,plain2_w16_gap,pixel_permuted_template,7032,prob_error_reduction,selected,0.139283936470747,4
single_shape,plain2_w16_gap,pixel_permuted_template,7033,centered_logit_fidelity,selected,0.021691024724175084,4
single_shape,plain2_w16_gap,pixel_permuted_template,7033,prob_error_reduction,selected,0.09952359274029732,4
single_shape,plain2_w16_gap,pixel_permuted_template,7034,centered_logit_fidelity,selected,-0.00720436310632229,4
single_shape,plain2_w16_gap,pixel_permuted_template,7034,prob_error_reduction,selected,0.19729822129011154,4
single_shape,plain2_w16_gap,pixel_permuted_template,7035,centered_logit_fidelity,selected,-0.00387324795583234,4
single_shape,plain2_w16_gap,pixel_permuted_template,7035,prob_error_reduction,selected,0.06915236916393042,4
single_shape,plain2_w16_gap,pixel_permuted_template,7036,centered_logit_fidelity,selected,-0.1251407121535387,4
single_shape,plain2_w16_gap,pixel_permuted_template,7036,prob_error_reduction,selected,0.11923829838633537,4
single_shape,plain2_w16_gap,pixel_permuted_template,7037,centered_logit_fidelity,selected,0.04842853489119249,4
single_shape,plain2_w16_gap,pixel_permuted_template,7037,prob_error_reduction,selected,0.1435906309634447,4
single_shape,plain2_w16_gap,pixel_permuted_template,7038,centered_logit_fidelity,selected,0.12554819618757157,4
single_shape,plain2_w16_gap,pixel_permuted_template,7038,prob_error_reduction,selected,0.23459474369883537,4
single_shape,plain2_w16_gap,pixel_permuted_template,7039,centered_logit_fidelity,selected,0.051343803439385424,4
single_shape,plain2_w16_gap,pixel_permuted_template,7039,prob_error_reduction,selected,0.18479230999946594,4
single_shape,plain2_w16_gap,pixel_permuted_template,7040,centered_logit_fidelity,selected,0.0132036259015441,4
single_shape,plain2_w16_gap,pixel_permuted_template,7040,prob_error_reduction,selected,0.18239426985383034,4
single_shape,plain2_w16_gap,pixel_permuted_template,7041,centered_logit_fidelity,selected,0.07318779290329103,4
single_shape,plain2_w16_gap,pixel_permuted_template,7041,prob_error_reduction,selected,0.07790537737309933,4
single_shape,plain2_w16_gap,pixel_permuted_template,7042,centered_logit_fidelity,selected,-0.032189930056571184,4
single_shape,plain2_w16_gap,pixel_permuted_template,7042,prob_error_reduction,selected,0.17164326086640358,4
single_shape,plain2_w16_gap,pixel_permuted_template,7043,centered_logit_fidelity,selected,-0.0033205519145714096,4
single_shape,plain2_w16_gap,pixel_permuted_template,7043,prob_error_reduction,selected,0.1354469731450081,4
single_shape,plain2_w16_gap,pixel_permuted_template,7044,centered_logit_fidelity,selected,0.03491530497187886,4
single_shape,plain2_w16_gap,pixel_permuted_template,7044,prob_error_reduction,selected,0.11848830804228783,4
single_shape,plain2_w16_gap,pixel_permuted_template,7045,centered_logit_fidelity,selected,0.061159871445577746,4
single_shape,plain2_w16_gap,pixel_permuted_template,7045,prob_error_reduction,selected,0.09877146035432816,4
single_shape,plain2_w16_gap,pixel_permuted_template,7046,centered_logit_fidelity,selected,0.10553776516296864,4
single_shape,plain2_w16_gap,pixel_permuted_template,7046,prob_error_reduction,selected,0.07020745053887367,4
single_shape,plain2_w16_gap,pixel_permuted_template,7047,centered_logit_fidelity,selected,0.030362658712390106,4
single_shape,plain2_w16_gap,pixel_permuted_template,7047,prob_error_reduction,selected,0.21730384603142738,4
single_shape,plain2_w16_gap,pixel_permuted_template,7048,centered_logit_fidelity,selected,-0.004199137203452788,4
single_shape,plain2_w16_gap,pixel_permuted_template,7048,prob_error_reduction,selected,0.24030315689742565,4
single_shape,plain2_w16_gap,pixel_permuted_template,7049,centered_logit_fidelity,selected,-0.008194202845941634,4
single_shape,plain2_w16_gap,pixel_permuted_template,7049,prob_error_reduction,selected,0.1167360357940197,4
single_shape,plain2_w16_gap,pixel_permuted_template,7050,centered_logit_fidelity,selected,-0.024552365032635498,4
single_shape,plain2_w16_gap,pixel_permuted_template,7050,prob_error_reduction,selected,0.14076202362775803,4
single_shape,plain2_w16_gap,pixel_permuted_template,7051,centered_logit_fidelity,selected,0.09055259517543593,4
single_shape,plain2_w16_gap,pixel_permuted_template,7051,prob_error_reduction,selected,0.21831017173826694,4
single_shape,plain2_w16_gap,pixel_permuted_template,7052,centered_logit_fidelity,selected,0.08431262732478763,4
single_shape,plain2_w16_gap,pixel_permuted_template,7052,prob_error_reduction,selected,0.17229658737778664,4
single_shape,plain2_w16_gap,pixel_permuted_template,7053,centered_logit_fidelity,selected,0.06320720925079708,4
single_shape,plain2_w16_gap,pixel_permuted_template,7053,prob_error_reduction,selected,0.1012828890234232,4
single_shape,plain2_w16_gap,pixel_permuted_template,7054,centered_logit_fidelity,selected,0.06850810844650922,4
single_shape,plain2_w16_gap,pixel_permuted_template,7054,prob_error_reduction,selected,0.22799427062273026,4
single_shape,plain2_w16_gap,pixel_permuted_template,7055,centered_logit_fidelity,selected,-0.014032265051451998,4
