task,architecture,profile,method,metric,block,B
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5013,0.07738113878454628
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5014,0.0033711010660552043
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5015,0.012157146630089433
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5016,0.0609873145471439
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5017,0.005871818169006893
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5018,0.126874771464074
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5019,0.004548367643307016
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5020,0.019509260079864865
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5021,0.08158410275535982
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5022,0.039668892667188704
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5023,-0.0011486816372522357
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5024,0.03340101886333241
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5025,0.0449280722071112
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5026,0.013182529874642412
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5027,-0.008584021330356073
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5028,0.04392350764460784
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5029,0.03978329642106049
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5030,0.020605391100419035
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5031,0.07121502916617989
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5032,0.014729787145218554
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5033,0.024081022651515127
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5034,0.04333223650671475
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5035,0.08479235526152445
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5036,-0.010132340909381754
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5037,0.16289653141184418
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5038,0.059999170566628124
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5039,0.07807814862000706
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5040,0.045377460367453326
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5041,-0.002201429273355038
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5042,0.04108730711399999
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5043,0.006288195589780665
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5044,-0.007888772987047321
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5045,0.008007470289091656
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5046,0.009423211684431554
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5047,0.03585625227466599
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5048,-0.031197530731975287
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5049,0.06596841926442215
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5000,0.09691877175724406
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5001,0.048352221815171514
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5002,0.06259457740238183
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5003,0.032615260993316686
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5004,0.08818491108824933
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5005,0.0476024307318732
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5006,0.038686241573630376
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5007,0.1720881709682094
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5008,-0.03444103627537631
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5009,0.1214775170821989
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5010,0.02858400756100843
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5011,0.06862567511039175
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5012,0.11727910514361595
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5013,0.13258511592825833
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5014,0.00801654726945944
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5015,-0.011199081120111976
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5016,0.08384974216686425
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5017,0.051481123352134894
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5018,0.13502915960734369
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5019,0.015090246493911774
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5020,0.008604656136853572
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5021,0.09419303119504163
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5022,0.021416090715248526
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5023,0.00477136359470498
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5024,0.01011465355208202
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5025,0.07973096305684574
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5026,0.03357901550846132
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5027,0.007403255971200562
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5028,0.05601017286207072
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5029,0.03946785396289382
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5030,0.08723366710077857
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5031,0.03338465413717778
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5032,-0.0073899912486167785
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5033,0.06662673372476269
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5034,0.012308011035375266
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5035,0.13171635143308064
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5036,0.036487907164309996
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5037,0.10156062337160121
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5038,0.041704727588867285
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5039,0.04672978820229662
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5040,0.02893451656992596
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5041,0.035718476750805916
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5042,0.06784918193735834
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5043,0.043845971494334
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5044,0.04548342383793008
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5045,0.02302122092706982
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5046,0.01663966593516364
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5047,0.08976302319742907
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5048,0.013851900230169245
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,5049,0.0665442799058249
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5000,0.11131134390620423
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5001,0.040169006802629414
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5002,0.05490841038126254
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5003,0.14262031470214642
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5004,0.08145089554700036
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5005,0.05005473152581885
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5006,0.024830587625839506
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5007,0.1374437752390878
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5008,-0.00883246651212638
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5009,0.11429718025285202
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5010,-0.030006782282774258
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5011,0.09416412517376
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5012,0.05456024719594865
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5013,0.12858190771157957
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5014,-0.03851537720773163
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5015,0.015336181301821517
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5016,0.09951791287041384
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5017,0.016107696090068624
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5018,0.13872672489353505
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5019,0.017281420473839793
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5020,0.055747686942264785
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5021,0.08198257457486169
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5022,0.04118060906864407
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5023,0.010908195347079264
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5024,0.02057581150023169
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5025,0.09030529988462516
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5026,0.03251771986293733
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5027,0.025665163989174067
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5028,0.05870949735733405
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5029,0.09632931069490397
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5030,0.06233953740566761
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5031,0.03957133036450683
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5032,-0.010379869711821754
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5033,0.0597507218876267
