architecture,metric,t_stat,p_two_sided,n,mean,sd,ci_low,ci_high
TinyCNN,prob_input_effect_mpp,81.25595541126596,1.2778229171183991e-25,20,0.8485581994056701,0.046702640000534035,0.826700691067577,0.8704157077437632
TinyCNN,centered_logit_input_effect_mpp,46.52904950397876,4.829660326670451e-21,20,126.53697814941407,12.162091760989032,120.84494399307019,132.22901230575795
TinyCNN,raw_logit_input_effect_mpp,45.955703188179605,6.1005485656021265e-21,20,127.72596044540406,12.429531493746516,121.90876064128058,133.54316024952752
TwoLayerCNN,prob_input_effect_mpp,14.801755295148956,6.953728963730678e-12,20,0.06206188201904297,0.01875109866890357,0.05328609770579472,0.07083766633229122
TwoLayerCNN,centered_logit_input_effect_mpp,40.039767540104364,8.154095417203125e-20,20,211.36844177246093,23.608239165126623,200.31944573297469,222.41743781194717
TwoLayerCNN,raw_logit_input_effect_mpp,40.2302178813378,7.458554024614443e-20,20,215.3054977416992,23.934134798867134,204.10397785063307,226.50701763276535
