task,architecture,profile,method,k,metric,n,mean,sd,ci_low,ci_high
single_shape,TinyCNN,template_init,contrast,1,centered_logit_fidelity,50,-0.04111482539533433,0.047787905786819955,-0.05469599795067475,-0.027533652839993907
single_shape,TinyCNN,template_init,contrast,2,centered_logit_fidelity,50,-0.05181786631577438,0.05234179505176617,-0.06669323988048828,-0.036942492751060485
single_shape,TinyCNN,template_init,contrast,3,centered_logit_fidelity,50,-0.03710578409715522,0.042357280734528734,-0.04914359008925814,-0.02506797810505229
single_shape,TinyCNN,template_init,contrast,4,centered_logit_fidelity,50,-0.011989274946721336,0.04648247444138853,-0.025199448018624587,0.0012208981251819167
single_shape,TinyCNN,template_init,contrast,5,centered_logit_fidelity,50,0.01944594884271011,0.04310507597349794,0.007195621795137459,0.03169627589028276
single_shape,TinyCNN,template_init,contrast,6,centered_logit_fidelity,50,0.026722773364458562,0.04022632640552575,0.015290577891863298,0.038154968837053826
single_shape,TinyCNN,template_init,contrast,7,centered_logit_fidelity,50,0.0285749265493751,0.03404701477516163,0.018898872011257513,0.03825098108749269
single_shape,TinyCNN,template_init,contrast,8,centered_logit_fidelity,50,0.023482523205835642,0.03492440887330432,0.013557116023995388,0.033407930387675894
single_shape,TinyCNN,template_init,contrast,9,centered_logit_fidelity,50,0.024948772303381134,0.03047912505989035,0.0162867008030992,0.03361084380366307
single_shape,TinyCNN,template_init,contrast,10,centered_logit_fidelity,50,0.0180486064059968,0.028719917936386574,0.009886496038380325,0.026210716773613276
single_shape,TinyCNN,template_init,contrast,11,centered_logit_fidelity,50,0.01383523777909033,0.02259836644752415,0.007412853095363759,0.020257622462816902
single_shape,TinyCNN,template_init,contrast,12,centered_logit_fidelity,50,0.008831230425615219,0.021937222417094872,0.0025967407963664218,0.015065720054864017
single_shape,TinyCNN,template_init,contrast,13,centered_logit_fidelity,50,0.008482987891344617,0.019922063211076046,0.002821200171769642,0.014144775610919591
