architecture,metric,block,delta
TwoLayerCNN,centered_logit_input_effect_mpp,4004,238.8160400390625
TwoLayerCNN,centered_logit_input_effect_mpp,4005,244.072509765625
TwoLayerCNN,centered_logit_input_effect_mpp,4006,217.93370056152344
TwoLayerCNN,centered_logit_input_effect_mpp,4007,191.37081909179688
TwoLayerCNN,centered_logit_input_effect_mpp,4008,173.07977294921875
TwoLayerCNN,centered_logit_input_effect_mpp,4009,202.14312744140625
TwoLayerCNN,centered_logit_input_effect_mpp,4010,243.66134643554688
TwoLayerCNN,centered_logit_input_effect_mpp,4011,189.05538940429688
TwoLayerCNN,centered_logit_input_effect_mpp,4012,181.6544952392578
TwoLayerCNN,centered_logit_input_effect_mpp,4013,189.95684814453125
TwoLayerCNN,centered_logit_input_effect_mpp,4014,175.16360473632812
TwoLayerCNN,centered_logit_input_effect_mpp,4015,223.98446655273438
TwoLayerCNN,centered_logit_input_effect_mpp,4016,232.21826171875
TwoLayerCNN,centered_logit_input_effect_mpp,4017,220.3778533935547
TwoLayerCNN,centered_logit_input_effect_mpp,4018,236.90191650390625
TwoLayerCNN,centered_logit_input_effect_mpp,4019,233.25665283203125
TwoLayerCNN,raw_logit_input_effect_mpp,4000,198.87705993652344
TwoLayerCNN,raw_logit_input_effect_mpp,4001,232.73025512695312
TwoLayerCNN,raw_logit_input_effect_mpp,4002,197.63613891601562
TwoLayerCNN,raw_logit_input_effect_mpp,4003,212.2034912109375
TwoLayerCNN,raw_logit_input_effect_mpp,4004,238.68978881835938
TwoLayerCNN,raw_logit_input_effect_mpp,4005,248.7647705078125
TwoLayerCNN,raw_logit_input_effect_mpp,4006,230.3402862548828
TwoLayerCNN,raw_logit_input_effect_mpp,4007,192.80514526367188
TwoLayerCNN,raw_logit_input_effect_mpp,4008,175.93626403808594
TwoLayerCNN,raw_logit_input_effect_mpp,4009,210.46417236328125
TwoLayerCNN,raw_logit_input_effect_mpp,4010,245.94427490234375
TwoLayerCNN,raw_logit_input_effect_mpp,4011,188.55580139160156
TwoLayerCNN,raw_logit_input_effect_mpp,4012,184.57432556152344
TwoLayerCNN,raw_logit_input_effect_mpp,4013,202.03102111816406
TwoLayerCNN,raw_logit_input_effect_mpp,4014,180.84396362304688
TwoLayerCNN,raw_logit_input_effect_mpp,4015,224.44081115722656
TwoLayerCNN,raw_logit_input_effect_mpp,4016,233.2275848388672
TwoLayerCNN,raw_logit_input_effect_mpp,4017,221.93661499023438
TwoLayerCNN,raw_logit_input_effect_mpp,4018,248.77879333496094
TwoLayerCNN,raw_logit_input_effect_mpp,4019,237.3293914794922
