task,architecture,profile,method,metric,t_stat,p_two_sided,n,mean,sd,ci_low,ci_high,p_holm_within_setting
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,8.237654945731508,8.294400127524513e-11,50,0.0522129699851115,0.044818756533973124,0.03947562031092764,0.06495031965929536,1.6588800255049025e-10
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,6.831473273952559,1.2102230388025754e-08,50,0.038329970206299704,0.03967428513391717,0.027054663127199462,0.04960527728539994,1.2102230388025754e-08
single_shape,TinyCNN,release_early,contrast,centered_logit_fidelity,8.629232789732086,2.118743523078547e-11,50,0.052814517970016454,0.043277895858986185,0.04051507605442091,0.065113959885612,6.356230569235642e-11
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,8.959926869316877,6.765403202778972e-12,50,0.05660357226379146,0.04467086659398291,0.043908252445512275,0.06929889208207064,2.7061612811115888e-11
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,10.434635988673872,4.811052667765132e-14,50,0.05581980882014514,0.037826489955283586,0.04506963932041273,0.06656997831987754,2.405526333882566e-13
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,10.78210933478693,1.5579932820876182e-14,50,0.0641835431222561,0.042092523061233955,0.05222098042837192,0.07614610581614029,3.1159865641752365e-14
single_shape,TinyCNN,retention_0p1,auroc,centered_logit_fidelity,7.130918328964178,4.159752628760943e-09,50,0.03578595901727042,0.035485603852163976,0.02570106198711826,0.04587085604742258,4.159752628760943e-09
single_shape,TinyCNN,release_early,auroc,centered_logit_fidelity,11.42318502943319,2.0257351741868088e-15,50,0.0634630923874223,0.039284300189998185,0.052298617803074515,0.07462756697177009,6.077205522560426e-15
single_shape,TinyCNN,release_default,auroc,centered_logit_fidelity,11.811309726525646,6.044040444629848e-16,50,0.06205010011092334,0.0371474862463406,0.05149290133014246,0.07260729889170421,2.417616177851939e-15
single_shape,TinyCNN,release_late,auroc,centered_logit_fidelity,11.914321486708435,4.3988389329161097e-16,50,0.058071634236593235,0.0344651152892672,0.0482767568470857,0.06786651162610077,2.199419466458055e-15
single_shape,TinyCNN,template_init,validation_patch,centered_logit_fidelity,3.966466979871361,0.0002374594299857646,50,0.026621477653327893,0.04745842451078413,0.013133942640581571,0.040109012666074216,0.0004749188599715292
single_shape,TinyCNN,retention_0p1,validation_patch,centered_logit_fidelity,3.3452559705773535,0.001583654613908743,50,0.02029031276616677,0.042888848792268335,0.008101436803572278,0.032479188728761266,0.001583654613908743
single_shape,TinyCNN,release_early,validation_patch,centered_logit_fidelity,4.152556515971018,0.0001309333623707193,50,0.02664439513521409,0.04537068287514485,0.013750189730403966,0.03953860054002421,0.0003928000871121579
single_shape,TinyCNN,release_default,validation_patch,centered_logit_fidelity,4.356326765052119,6.74115225792203e-05,50,0.024875545692483816,0.04037729030333811,0.013400446754836901,0.03635064463013073,0.0002696460903168812
single_shape,TinyCNN,release_late,validation_patch,centered_logit_fidelity,5.377441763752396,2.0954073079664343e-06,50,0.026778929379681585,0.03521295699551234,0.01677151772885061,0.03678634103051256,1.0477036539832171e-05
single_shape,TwoLayerCNN,template_init,contrast,centered_logit_fidelity,12.371194709157635,1.0927032451715725e-16,50,0.07272457102543398,0.04156755959301249,0.06091120129846847,0.08453794075239948,3.2781097355147173e-16
single_shape,TwoLayerCNN,retention_0p1,contrast,centered_logit_fidelity,5.502598877582397,1.352872631867368e-06,50,0.021395271982370165,0.027493811997997938,0.013581617066948382,0.029208926897791948,1.352872631867368e-06
single_shape,TwoLayerCNN,release_early,contrast,centered_logit_fidelity,12.51927691937581,6.997895702949424e-17,50,0.06809738677199896,0.038462384271602444,0.057166498107141125,0.0790282754368568,2.7991582811797695e-16
single_shape,TwoLayerCNN,release_default,contrast,centered_logit_fidelity,13.442143839202659,4.6367662637083716e-18,50,0.0570002181252383,0.029984235585935465,0.04847879265727228,0.06552164359320432,2.3183831318541858e-17
single_shape,TwoLayerCNN,release_late,contrast,centered_logit_fidelity,9.832955420757562,3.5109819033834714e-13,50,0.03852309220128946,0.027702698285708007,0.0306500724597443,0.04639611194283462,7.021963806766943e-13
single_shape,TwoLayerCNN,template_init,auroc,centered_logit_fidelity,10.979429958543806,8.26867411089106e-15,50,0.06946056896676107,0.04473459872409153,0.056747136677510975,0.08217400125601118,2.4806022332673183e-14
single_shape,TwoLayerCNN,retention_0p1,auroc,centered_logit_fidelity,3.9105032383346088,0.00028338790643171583,50,0.014673390145112564,0.026532783742236967,0.0071328564380205945,0.022213923852204533,0.00028338790643171583
single_shape,TwoLayerCNN,release_early,auroc,centered_logit_fidelity,11.34778355529602,2.568047093029916e-15,50,0.06532006601330938,0.040702452069600756,0.05375255712416318,0.07688757490245557,1.0272188372119663e-14
single_shape,TwoLayerCNN,release_default,auroc,centered_logit_fidelity,12.680407483591111,4.3228236660544797e-17,50,0.0565819672099196,0.03155221372718716,0.04761492728472381,0.0655490071351154,2.1614118330272398e-16
single_shape,TwoLayerCNN,release_late,auroc,centered_logit_fidelity,8.6586169964439,1.9135519762126734e-11,50,0.03294879090948025,0.026907661458590658,0.025301718134205137,0.04059586368475536,3.827103952425347e-11
single_shape,TwoLayerCNN,template_init,validation_patch,centered_logit_fidelity,-0.8275835709511389,0.4119188420727565,50,-0.006565961424397746,0.05610111185345226,-0.022509721002963095,0.009377798154167605,1.0
single_shape,TwoLayerCNN,retention_0p1,validation_patch,centered_logit_fidelity,-0.06581694208286269,0.9477913720200472,50,-0.0004981876141096042,0.053522972823098085,-0.015709248187217487,0.014712872958998278,1.0
single_shape,TwoLayerCNN,release_early,validation_patch,centered_logit_fidelity,0.10640153694079132,0.9156982007028792,50,0.0009425626290603617,0.06263936084612025,-0.016859346753669357,0.018744472011790077,1.0
single_shape,TwoLayerCNN,release_default,validation_patch,centered_logit_fidelity,0.2948886365808941,0.7693247867914064,50,0.0023237124641806426,0.05571977475975391,-0.013511672311471755,0.01815909723983304,1.0
single_shape,TwoLayerCNN,release_late,validation_patch,centered_logit_fidelity,0.4804393837887554,0.6330530704524867,50,0.003239442644220145,0.04767785361243644,-0.010310453429220016,0.016789338717660307,1.0
two_concepts,TinyCNN,template_init,contrast,centered_logit_fidelity,15.894787850753973,5.6709585648831904e-21,50,0.16818392109550842,0.0748194893884891,0.14692045748150367,0.18944738470951317,2.835479282441595e-20
two_concepts,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,9.228247125930034,2.701105220915916e-12,50,0.09318442503778429,0.07140179271970477,0.0728922600700863,0.11347659000548228,5.402210441831832e-12
two_concepts,TinyCNN,release_early,contrast,centered_logit_fidelity,10.272552018335263,8.182545730986757e-14,50,0.1561145158697978,0.10746076789502429,0.12557450354487543,0.18665452819472017,2.454763719296027e-13
two_concepts,TinyCNN,release_default,contrast,centered_logit_fidelity,10.475640078834035,4.208373291397624e-14,50,0.13426811655405432,0.09063111656952308,0.10851103821492893,0.16002519489317973,1.6833493165590495e-13
two_concepts,TinyCNN,release_late,contrast,centered_logit_fidelity,7.382947500893469,1.696207489096286e-09,50,0.08531475188053539,0.08171077958047748,0.062092805263659,0.10853669849741178,1.696207489096286e-09
two_concepts,TinyCNN,template_init,auroc,centered_logit_fidelity,13.424084033236166,4.884655618909162e-18,50,0.15627742162923725,0.08231833494694185,0.13288280968767213,0.17967203357080236,2.4423278094545808e-17
two_concepts,TinyCNN,retention_0p1,auroc,centered_logit_fidelity,8.272195349201501,7.349813865926997e-11,50,0.08853842550787537,0.07568259504200649,0.06702966998118041,0.11004718103457033,1.4699627731853994e-10
two_concepts,TinyCNN,release_early,auroc,centered_logit_fidelity,10.41691082719261,5.0979396088780005e-14,50,0.14540157020801311,0.09869954537852829,0.11735146977257728,0.17345167064344896,2.0391758435512002e-13
two_concepts,TinyCNN,release_default,auroc,centered_logit_fidelity,9.72911023967736,4.96947752536558e-13,50,0.11735616786049433,0.08529386558885803,0.09311591946706543,0.14159641625392322,1.4908432576096739e-12
two_concepts,TinyCNN,release_late,auroc,centered_logit_fidelity,8.095800213663756,1.3641458789102126e-10,50,0.08149277714804497,0.07117776355430702,0.06126428056469235,0.10172127373139758,1.4699627731853994e-10
two_concepts,TinyCNN,template_init,validation_patch,centered_logit_fidelity,21.349159301478956,1.8178203859048434e-26,50,0.1539391304109556,0.050986271387279576,0.13944899240923886,0.16842926841267236,7.271281543619374e-26
two_concepts,TinyCNN,retention_0p1,validation_patch,centered_logit_fidelity,15.015856761767296,5.780226011965039e-20,50,0.09040558869630724,0.0425725989788923,0.07830658993622533,0.10250458745638916,5.780226011965039e-20
two_concepts,TinyCNN,release_early,validation_patch,centered_logit_fidelity,20.80973342382784,5.63771651478774e-26,50,0.12011150042589845,0.040813428370203964,0.10851245242108627,0.13171054843071062,1.6913149544363223e-25
two_concepts,TinyCNN,release_default,validation_patch,centered_logit_fidelity,22.381781625332103,2.2185052730280082e-27,50,0.09419355807165061,0.029758535210248137,0.08573627594073913,0.1026508402025621,1.1092526365140042e-26
two_concepts,TinyCNN,release_late,validation_patch,centered_logit_fidelity,17.909588207316173,3.803314393823667e-23,50,0.06312913775881847,0.02492466095981199,0.05604562748974272,0.07021264802789422,7.606628787647335e-23
two_concepts,TwoLayerCNN,template_init,contrast,centered_logit_fidelity,-0.5612961358609917,0.57715384276586,50,-0.005367112159937102,0.06761353163172652,-0.024582665238634845,0.01384844091876064,0.57715384276586
