stage,task,architecture,block,profile,epoch,method,k,selection_valid,stored_prob_fidelity,legacy_prob_fidelity_abs_diff,prob_fidelity,centered_logit_fidelity,raw_logit_fidelity,prob_patch_error_mpp,prob_error_reduction,centered_logit_patch_error_mpp,centered_logit_error_reduction,raw_logit_patch_error_mpp,raw_logit_error_reduction,cf_accuracy,agreement
E,single_shape,TinyCNN,5000,release_default,200,contrast,1,True,0.015764979522961187,0.0,0.015764979522961187,0.21812175878251427,0.21340355693240187,1.9552091360092163,0.03131759166717529,127.7662353515625,35.64312744140625,129.83877563476562,35.225250244140625,0.0,0.0
E,single_shape,TinyCNN,5000,release_default,200,contrast,2,True,0.14330910707148936,0.0,0.14330910707148936,0.40239030704701517,0.3930967295750507,1.7018392086029053,0.28468751907348633,97.65501403808594,65.75434875488281,100.17790985107422,64.88611602783203,0.03515625,0.03515625
E,single_shape,TinyCNN,5000,release_default,200,contrast,3,True,0.34990296560009504,0.0,0.34990296560009504,0.4785720919976937,0.4693260770344525,1.2914350032806396,0.695091724395752,85.20620727539062,78.20315551757812,87.59517669677734,77.4688491821289,0.2513020932674408,0.2513020932674408
E,single_shape,TinyCNN,5000,release_default,200,contrast,4,True,0.5391492097427258,0.0,0.5391492097427258,0.5741102319912719,0.5705784517060843,0.9154924750328064,1.0710342526435852,69.59437561035156,93.81498718261719,70.88204956054688,94.18197631835938,0.4388020932674408,0.4388020932674408
E,single_shape,TinyCNN,5000,release_default,200,contrast,5,True,0.6216319301784385,0.0,0.6216319301784385,0.5872715374711603,0.5852624054522325,0.7516382932662964,1.2348884344100952,67.4437026977539,95.96566009521484,68.458251953125,96.60577392578125,0.5559896230697632,0.5559896230697632
E,single_shape,TinyCNN,5000,release_default,200,contrast,6,True,0.741811444818411,0.0,0.741811444818411,0.6760476696850072,0.6749543677256904,0.5128985047340393,1.4736282229423523,52.93684387207031,110.47251892089844,53.653343200683594,111.41068267822266,0.6497396230697632,0.6497396230697632
E,single_shape,TinyCNN,5000,release_default,200,contrast,7,True,0.8429102478807855,0.0,0.8429102478807855,0.722329606567415,0.7215661536402223,0.31206297874450684,1.6744637489318848,45.37394332885742,118.03541946411133,45.95941162109375,119.1046142578125,0.765625,0.765625
E,single_shape,TinyCNN,5000,release_default,200,contrast,8,True,0.9075422292668232,0.0,0.9075422292668232,0.7685878099532402,0.7676628547432482,0.18366985023021698,1.8028568774461746,37.814918518066406,125.59444427490234,38.35050582885742,126.71352005004883,0.86328125,0.86328125
E,single_shape,TinyCNN,5000,release_default,200,contrast,9,True,0.936142123491126,0.0,0.936142123491126,0.8072387351331821,0.8060862527327289,0.12685537338256836,1.8596713542938232,31.49899673461914,131.9103660583496,32.00818634033203,133.05583953857422,0.8997396230697632,0.8997396230697632
E,single_shape,TinyCNN,5000,release_default,200,contrast,10,True,0.973339703612016,0.0,0.973339703612016,0.8526968006437333,0.8512501406653604,0.05296139419078827,1.9335653334856033,24.070722579956055,139.3386402130127,24.553251266479492,140.51077461242676,0.9700521230697632,0.9700521230697632
E,single_shape,TinyCNN,5000,release_default,200,contrast,11,True,0.994857804710719,0.0,0.994857804710719,0.904086699567985,0.9027484301252757,0.010215109214186668,1.976311618462205,15.673131942749023,147.73623085021973,16.052738189697266,149.01128768920898,0.9947916865348816,0.9947916865348816
E,single_shape,TinyCNN,5000,release_default,200,contrast,12,True,0.9969334461734122,0.0,0.9969334461734122,0.9266103792167654,0.9257764127023687,0.006091791205108166,1.9804349364712834,11.992551803588867,151.41681098937988,12.251644134521484,152.81238174438477,0.9986979365348816,0.9986979365348816
