stage,task,architecture,block,profile,epoch,pair_count,prob_input_effect_mpp,centered_logit_input_effect_mpp,raw_logit_input_effect_mpp,max_legacy_prob_fidelity_abs_diff,full_patch_max_logit_error,noop_max_logit_error,checkpoint_sha256,ranking_artifact_sha256,test_data_sha256
E,single_shape,TinyCNN,5002,release_late,200,768,1.969625473022461,147.1624755859375,149.61016845703125,0.0,0.0,0.0,b836970d8a49f4dfedea1fa18557a1d1dd425ad76c3d64fd9cdb4e0179c983bb,19feaa0fa96e810491f84288630aba5f6ca7f92e54f748adc1fa2e228a85fc2b,c2a6f1acf2452bbce596b71576307bc1edae63f20a4e871e1ce6d98045372436
E,single_shape,TinyCNN,5002,retention_0p1,200,768,1.8486287593841553,67.7767333984375,69.16328430175781,0.0,0.0,0.0,9c01870e18b222d3c65da8f59a71019bbdf4a46198aa602add1c21b1434cdb83,b9347cd2e79dd28ae7a7d2b3103b9502a4ab2f1198ac428d94dd4ac6b06a2bca,c2a6f1acf2452bbce596b71576307bc1edae63f20a4e871e1ce6d98045372436
E,single_shape,TinyCNN,5002,retention_1,200,768,1.6211427450180054,39.07680892944336,40.008934020996094,0.0,0.0,0.0,16efe2ab12087723293de07b772b3ed72179e4bfa7e523edb3bdf50afe6a5f60,69d489773d6e9d171c5c3c188acfb2c6487cc21b1c03eeafb7a86dea58020a1e,c2a6f1acf2452bbce596b71576307bc1edae63f20a4e871e1ce6d98045372436
E,single_shape,TinyCNN,5002,template_init,200,768,1.9783275127410889,173.12930297851562,176.27694702148438,0.0,0.0,0.0,6c1025f61502742410b3fee2dfdd798ffee8348b4736f5b66d637396a66fcb54,820b91ed63eab3f6520398f2323d3e6b4d5c4a09f04baafad066b210c2006690,c2a6f1acf2452bbce596b71576307bc1edae63f20a4e871e1ce6d98045372436
E,single_shape,TinyCNN,5003,release_default,200,768,1.9735767841339111,149.61456298828125,153.3177947998047,0.0,0.0,0.0,158cf3acb920272bc7dd25820614f3294e49124fc25f92143184606464f0f5f0,af4ed5f28d4690b31ebb1a4921ea12033d0661eb79aee952769fd48b37734124,bf7df20a844c73b99aa5725fe5460085c4e45184f1c4103d94deda0d715dc06e
E,single_shape,TinyCNN,5003,release_early,200,768,1.9755973815917969,158.8848419189453,161.4385528564453,0.0,0.0,0.0,71eff4041d93633f91cdc08e7cd957017f1f3f6937f03006812634144ccc681e,b156ccab8a3f8c1918b0682f0590dff937c28cda51eef43c8831e9c5d000c332,bf7df20a844c73b99aa5725fe5460085c4e45184f1c4103d94deda0d715dc06e
E,single_shape,TinyCNN,5003,release_late,200,768,1.960959792137146,123.30683898925781,127.86080169677734,0.0,0.0,0.0,82ac43e76bc2063a46f1f70158f19c5b16d76dd237c5cf4634fcd74187f98e22,998d287792fdedaf6201504a610406a89728999740f997ef88fe73d34e81aa07,bf7df20a844c73b99aa5725fe5460085c4e45184f1c4103d94deda0d715dc06e
E,single_shape,TinyCNN,5003,retention_0p1,200,768,1.8252958059310913,56.109039306640625,58.07844161987305,0.0,0.0,0.0,83b739b8eda252d395bc91c6ac782fb83697f3fc2781e59f2fe78ba2566cef03,2749d76d2ba94e3ce5cd8e801f318e5fb96ce119f36bd029e9a92ff50b7e5a36,bf7df20a844c73b99aa5725fe5460085c4e45184f1c4103d94deda0d715dc06e
E,single_shape,TinyCNN,5003,retention_1,200,768,1.5344417095184326,31.564598083496094,33.33055114746094,0.0,0.0,0.0,86034893fdeaaa3f02df8d528f41d82693d5e9ef5d8b5396646525c47174ccfc,4103c9fed8c1d5cdbab13a4422bd603cec9143082e9f471fdbb19abe02003061,bf7df20a844c73b99aa5725fe5460085c4e45184f1c4103d94deda0d715dc06e
E,single_shape,TinyCNN,5003,template_init,200,768,1.9790904521942139,150.35040283203125,151.58929443359375,0.0,0.0,0.0,91f4c76ebf6e47b3739a18d2883c855f868944e0936f19d4e62ea7f195e6ce84,7e52311b4fb38e73998faed86535abda87764ff61d517a30b58b506aaa991cae,bf7df20a844c73b99aa5725fe5460085c4e45184f1c4103d94deda0d715dc06e
