stage,task,architecture,block,condition,epoch,pair_count,prob_input_effect_mpp,centered_logit_input_effect_mpp,raw_logit_input_effect_mpp,max_legacy_prob_fidelity_abs_diff,full_patch_max_logit_error,noop_max_logit_error,checkpoint_sha256,ranking_artifact_sha256,test_data_sha256
D,two_concepts,TinyCNN,4010,template_retention_1,200,512,1.152299165725708,27.572574615478516,27.74542808532715,5.551089110600316e-08,0.0,0.0,2f73f2ae4312a01b622f58af7882dd5c5b2bfdc42f4431eab51a72de91e1f1d7,1bf0b6ae8d379e01a6796289c77b066d3fcf84a2eb230eef3214c7a10b0741ce,41bf48f76f24404ddec74eecb3745234bd90c88e652a503737ad082c82c47360
D,two_concepts,TinyCNN,4011,template_release,200,512,1.9023298025131226,143.1450958251953,143.86912536621094,5.948217896012409e-08,0.0,0.0,5d52bd0b20cb99b8bcbaf0b5ec29cfb233beb665b7d9f7156749520b84595b14,b86f19cc22624d6a77a0f8963c8fa7c32dd9869cea59fee0034e689bd833ee51,f47f3177e39a318bef3fbe578b9e0511488642ac43ffac5f307528a4079d4bc3
D,two_concepts,TinyCNN,4011,template_retention_1,200,512,1.0872026681900024,24.75664520263672,24.950613021850586,0.0,0.0,0.0,681e69e7e9502bc061aa9aa448b995992f4b152700f8bc87c7fd0e8bc8338313,15b5f77c058a006308bf5b8fe8522ae017782091d6a04ae2845674ffe39fc208,f47f3177e39a318bef3fbe578b9e0511488642ac43ffac5f307528a4079d4bc3
D,two_concepts,TinyCNN,4012,template_release,200,512,1.8816473484039307,146.0779266357422,146.54153442382812,5.86018245041231e-08,0.0,0.0,6863f7ae296509ce47c9894e768b855ecda12a3644870840276795ab7d7160a2,7071b3194c30ef87b14ee0de38edb2d55a6089524e3f47f5ee382fc0ac7b747b,5c15cbcc76a872d787584549dd5adf5a97afe45954e48596dea0dcbd1c569194
D,two_concepts,TinyCNN,4012,template_retention_1,200,512,1.0357152223587036,22.662376403808594,22.71677017211914,2.877463012307402e-08,0.0,0.0,0ca39e17643a44f85833c8d69d3a0b48151f9aa99be6bccddf18256f05e70d89,646505e9be1f97656756f61fb84b7b0df5ae9940284f47a89dc89ea1104c76be,5c15cbcc76a872d787584549dd5adf5a97afe45954e48596dea0dcbd1c569194
D,two_concepts,TinyCNN,4013,template_release,200,512,1.8727518320083618,143.6394500732422,145.37924194335938,3.182730345940854e-08,0.0,0.0,4f842b678494f4570502b0c7b483f06c861502aa687c7a6d0a5d82a1857fd515,b7973de87c5d1c0f0ccbb5e814e18c42cb470b2fa3c2a7b4b29caefb1ede2262,f42c91d0972cfe28c15affd6a1fcc78b51c112f7d958422119a72eeebd771444
D,two_concepts,TinyCNN,4013,template_retention_1,200,512,1.0701814889907837,25.90261459350586,26.081787109375,2.784791752752369e-08,0.0,0.0,b4523e80c42a7e0e70b7d84db66fbb9f82124765e6197fefac9bcf3aded1f2ad,752b9fc51f00a4ccb93f084294b6c8b3450e3c803c6f5ea45859ccf168d8a485,f42c91d0972cfe28c15affd6a1fcc78b51c112f7d958422119a72eeebd771444
D,two_concepts,TinyCNN,4014,template_release,200,512,1.871889591217041,129.6069793701172,129.90158081054688,3.980245688595119e-09,0.0,0.0,a2958abe08abb1573d9d943a8c42a349f0758d0c912257bc6bdf59e6ac27087c,c2eeaa734071f5b1f14fa06749a6540076a0296bd57fbe47e9f5a42514191f37,fbd3cd907ea38f829eed1c8e10f2aef596e73a0cbf901f66e1daf30b2a1bd221
D,two_concepts,TinyCNN,4014,template_retention_1,200,512,1.0093369483947754,22.42898178100586,22.50775718688965,2.9526633693599535e-08,0.0,0.0,76bf339004ba61e6f62969fbcf7b1db8615508a76c229fcf5620871de3b34b25,9a799ebbc326b017e9fdf0855a336901259939a31d743bbd85c856fbc5a1b846,fbd3cd907ea38f829eed1c8e10f2aef596e73a0cbf901f66e1daf30b2a1bd221
D,two_concepts,TinyCNN,4015,template_release,200,512,1.88002610206604,147.67538452148438,148.27484130859375,3.963020023256547e-09,0.0,0.0,8e9e580e44cbab9c1d329706cbe7098e1631885cdf3c19f05879d7a17036d221,ef644b16517d275e2d9b431a78fb7c6c86e961342ae58563f7258a06f846ef1d,9230014566168720d5d5e54c51c7cb9d2364ba6ae5e143794a029d6ef7d9d301
