architecture,method,k,metric,n,mean,sd,ci_low,ci_high
TinyCNN,contrast,1,centered_logit_fidelity,20,-0.21134208295811896,0.14454899456510084,-0.2789930948481008,-0.1436910710681371
TinyCNN,contrast,2,centered_logit_fidelity,20,-0.17451609498095583,0.09885613879893279,-0.22078219210190356,-0.1282499978600081
TinyCNN,contrast,4,centered_logit_fidelity,20,-0.034049483778826106,0.03277465497557118,-0.04938849447283572,-0.018710473084816496
TinyCNN,contrast,8,centered_logit_fidelity,20,0.0059536472591545046,0.007308561368890735,0.002533135248309552,0.009374159269999457
TinyCNN,auroc,1,centered_logit_fidelity,20,-0.1564989130640405,0.1345686356601797,-0.21947897320527796,-0.09351885292280307
TinyCNN,auroc,2,centered_logit_fidelity,20,-0.17329849857434673,0.10624266866726406,-0.22302159808712452,-0.12357539906156895
TinyCNN,auroc,4,centered_logit_fidelity,20,-0.04187942605446325,0.05098960325526231,-0.06574329495556204,-0.018015557153364458
TinyCNN,auroc,8,centered_logit_fidelity,20,0.004569800704285221,0.008485222675244637,0.0005985942505897599,0.008541007157980682
TinyCNN,validation_patch,1,centered_logit_fidelity,20,-0.11691865274749698,0.04477303986390383,-0.13787308042301732,-0.09596422507197663
TinyCNN,validation_patch,2,centered_logit_fidelity,20,-0.09179170565865742,0.04233666642416707,-0.11160587546496212,-0.07197753585235273
TinyCNN,validation_patch,4,centered_logit_fidelity,20,-0.01832192257342117,0.023503422071281563,-0.02932186270294885,-0.007321982443893489
TinyCNN,validation_patch,8,centered_logit_fidelity,20,0.007934813151720316,0.007317347317811857,0.004510189190206208,0.011359437113234424
TwoLayerCNN,contrast,1,centered_logit_fidelity,20,-0.004415055295934123,0.04966033384674665,-0.0276568069638343,0.018826696371966056
TwoLayerCNN,contrast,2,centered_logit_fidelity,20,-0.02609810250648919,0.060334443905327786,-0.05433549145751711,0.002139286444538733
TwoLayerCNN,contrast,4,centered_logit_fidelity,20,-0.05451389322777457,0.05863786250834229,-0.08195725764334925,-0.02707052881219989
TwoLayerCNN,contrast,8,centered_logit_fidelity,20,0.020332212702882425,0.042822087676270326,0.00029085875741101386,0.040373566648353836
TwoLayerCNN,auroc,1,centered_logit_fidelity,20,-0.016972937051361225,0.05069842877754146,-0.040700532102104864,0.006754657999382414
TwoLayerCNN,auroc,2,centered_logit_fidelity,20,-0.03486642328261423,0.058843171231414255,-0.06240587513835027,-0.007326971426878194
TwoLayerCNN,auroc,4,centered_logit_fidelity,20,-0.062432985220571745,0.044421883232899535,-0.08322306653387221,-0.04164290390727129
TwoLayerCNN,auroc,8,centered_logit_fidelity,20,0.023776668282771772,0.047525854522858235,0.0015338836886568223,0.04601945287688672
TwoLayerCNN,validation_patch,1,centered_logit_fidelity,20,-0.007341251551264366,0.04267913258983021,-0.027315700456810796,0.012633197354282066
TwoLayerCNN,validation_patch,2,centered_logit_fidelity,20,-0.015401889598126661,0.0479494248273504,-0.03784291119687562,0.007039132000622297
TwoLayerCNN,validation_patch,4,centered_logit_fidelity,20,-0.012969901972879389,0.04530548201307521,-0.034173520244797126,0.00823371629903835
TwoLayerCNN,validation_patch,8,centered_logit_fidelity,20,0.0006106212887107887,0.02340572897285867,-0.010343597063347176,0.011564839640768753
TinyCNN,contrast,1,prob_error_reduction,20,-0.2294229432940483,0.21559778395901594,-0.3303258121790772,-0.12852007440901939
TinyCNN,contrast,2,prob_error_reduction,20,0.04492556415498257,0.3404929398182197,-0.11443003696421496,0.2042811652741801
TinyCNN,contrast,4,prob_error_reduction,20,0.7542872032150626,0.10900097995396381,0.7032731742827186,0.8053012321474066
TinyCNN,contrast,8,prob_error_reduction,20,0.850038039626088,0.04463710764769086,0.829147230186052,0.8709288490661241
