architecture,method,metric,block,B
TwoLayerCNN,contrast,centered_logit_fidelity,4018,-0.01232509892281991
TwoLayerCNN,contrast,centered_logit_fidelity,4019,-0.013767853715361988
TwoLayerCNN,auroc,centered_logit_fidelity,4000,-0.058342735283686
TwoLayerCNN,auroc,centered_logit_fidelity,4001,-0.037168039242602036
TwoLayerCNN,auroc,centered_logit_fidelity,4002,-0.0026021576294256166
TwoLayerCNN,auroc,centered_logit_fidelity,4003,0.027075209359687435
TwoLayerCNN,auroc,centered_logit_fidelity,4004,-0.02505009005177794
TwoLayerCNN,auroc,centered_logit_fidelity,4005,-0.002741716900446556
TwoLayerCNN,auroc,centered_logit_fidelity,4006,-0.0029386671724929703
TwoLayerCNN,auroc,centered_logit_fidelity,4007,0.06126947129451821
TwoLayerCNN,auroc,centered_logit_fidelity,4008,-0.10317704289217355
TwoLayerCNN,auroc,centered_logit_fidelity,4009,-0.018832686608967197
TwoLayerCNN,auroc,centered_logit_fidelity,4010,0.1392725262223467
TwoLayerCNN,auroc,centered_logit_fidelity,4011,0.02473593506800187
TwoLayerCNN,auroc,centered_logit_fidelity,4012,0.04788219547527933
TwoLayerCNN,auroc,centered_logit_fidelity,4013,0.039114685020778084
TwoLayerCNN,auroc,centered_logit_fidelity,4014,0.03901394013109821
TwoLayerCNN,auroc,centered_logit_fidelity,4015,0.007025836015824627
TwoLayerCNN,auroc,centered_logit_fidelity,4016,-0.026986348418179984
TwoLayerCNN,auroc,centered_logit_fidelity,4017,0.051992737185479365
TwoLayerCNN,auroc,centered_logit_fidelity,4018,9.400466126630036e-05
TwoLayerCNN,auroc,centered_logit_fidelity,4019,-0.027806622272773418
TwoLayerCNN,validation_patch,centered_logit_fidelity,4000,-0.03686539360575475
TwoLayerCNN,validation_patch,centered_logit_fidelity,4001,0.008168277906482557
TwoLayerCNN,validation_patch,centered_logit_fidelity,4002,0.040578062231707734
TwoLayerCNN,validation_patch,centered_logit_fidelity,4003,-0.04933718697828937
TwoLayerCNN,validation_patch,centered_logit_fidelity,4004,-0.01473008075384552
TwoLayerCNN,validation_patch,centered_logit_fidelity,4005,-0.014861168700663396
TwoLayerCNN,validation_patch,centered_logit_fidelity,4006,0.03362765635007364
TwoLayerCNN,validation_patch,centered_logit_fidelity,4007,-0.038285657941442564
TwoLayerCNN,validation_patch,centered_logit_fidelity,4008,0.021785007913928067
TwoLayerCNN,validation_patch,centered_logit_fidelity,4009,0.008263292677422374
TwoLayerCNN,validation_patch,centered_logit_fidelity,4010,0.07790925027277695
TwoLayerCNN,validation_patch,centered_logit_fidelity,4011,0.014280898665144093
TwoLayerCNN,validation_patch,centered_logit_fidelity,4012,0.05428118981827773
TwoLayerCNN,validation_patch,centered_logit_fidelity,4013,-0.014260653151622671
TwoLayerCNN,validation_patch,centered_logit_fidelity,4014,-0.013273978056633884
TwoLayerCNN,validation_patch,centered_logit_fidelity,4015,0.04069443270713108
TwoLayerCNN,validation_patch,centered_logit_fidelity,4016,-0.05621948813646371
TwoLayerCNN,validation_patch,centered_logit_fidelity,4017,0.013431263652295855
TwoLayerCNN,validation_patch,centered_logit_fidelity,4018,0.0008517079698418528
TwoLayerCNN,validation_patch,centered_logit_fidelity,4019,0.027801171811858205
TinyCNN,contrast,prob_error_reduction,4000,0.9541201665997505
TinyCNN,contrast,prob_error_reduction,4001,1.1693705269135535
TinyCNN,contrast,prob_error_reduction,4002,0.8548486216459423
TinyCNN,contrast,prob_error_reduction,4003,1.1761129116639495
TinyCNN,contrast,prob_error_reduction,4004,0.45932216104120016
TinyCNN,contrast,prob_error_reduction,4005,0.9229958297219127
TinyCNN,contrast,prob_error_reduction,4006,0.8824402140453458
TinyCNN,contrast,prob_error_reduction,4007,0.7727137384936213
TinyCNN,contrast,prob_error_reduction,4008,0.8863670516293496
TinyCNN,contrast,prob_error_reduction,4009,1.1135258505819365
TinyCNN,contrast,prob_error_reduction,4010,0.6804380116518587
TinyCNN,contrast,prob_error_reduction,4011,1.0136279757134616
TinyCNN,contrast,prob_error_reduction,4012,1.1513411276973784
TinyCNN,contrast,prob_error_reduction,4013,0.6282710256054997
TinyCNN,contrast,prob_error_reduction,4014,0.6334593591745943
TinyCNN,contrast,prob_error_reduction,4015,0.9942352690268308
TinyCNN,contrast,prob_error_reduction,4016,0.9232079386711121
