stage,task,architecture,block,condition,epoch,method,k,selection_valid,stored_prob_fidelity,legacy_prob_fidelity_abs_diff,prob_fidelity,centered_logit_fidelity,raw_logit_fidelity,prob_patch_error_mpp,prob_error_reduction,centered_logit_patch_error_mpp,centered_logit_error_reduction,raw_logit_patch_error_mpp,raw_logit_error_reduction,cf_accuracy,agreement
D,two_concepts,TinyCNN,4000,template_release,200,contrast,1,True,0.06112066748232858,3.932100978154551e-09,0.061120663550227605,0.27243652137136054,0.2727085376309858,1.739735722541809,0.11325609683990479,105.73199462890625,39.591400146484375,108.07551574707031,40.524505615234375,0.015625,0.017578125
D,two_concepts,TinyCNN,4000,template_release,200,contrast,2,True,0.5415573588354416,2.9493178343997783e-08,0.54155738832862,0.6622116180385501,0.6653299995379236,0.8494905233383179,1.003501296043396,49.08855438232422,96.2348403930664,49.731964111328125,98.86805725097656,0.490234375,0.494140625
D,two_concepts,TinyCNN,4000,template_release,200,contrast,4,True,0.8955235330984478,9.362025155112974e-09,0.8955235237364226,0.9120993414577242,0.9109292804957566,0.1935940533876419,1.659397765994072,12.774022102355957,132.54937267303467,13.235908508300781,135.3641128540039,0.83984375,0.83984375
D,two_concepts,TinyCNN,4000,template_release,200,contrast,8,True,0.9900746268404664,3.666764669674194e-10,0.99007462647379,0.9834758407231523,0.9832753272399152,0.01839163526892662,1.8346001841127872,2.4013471603393555,142.92204761505127,2.485286235809326,146.11473512649536,0.984375,0.98828125
D,two_concepts,TinyCNN,4000,template_release,200,auroc,1,True,0.46362099847774274,3.4507090074242797e-08,0.4636210329848328,0.586458466550622,0.5889872569606671,0.9939059019088745,0.8590859174728394,60.09726333618164,85.22613143920898,61.076499938964844,87.52352142333984,0.400390625,0.404296875
D,two_concepts,TinyCNN,4000,template_release,200,auroc,2,True,0.5415573588354416,2.9493178343997783e-08,0.54155738832862,0.6622116180385501,0.6653299995379236,0.8494905233383179,1.003501296043396,49.08855438232422,96.2348403930664,49.731964111328125,98.86805725097656,0.490234375,0.494140625
D,two_concepts,TinyCNN,4000,template_release,200,auroc,4,True,0.8955235330984478,9.362025155112974e-09,0.8955235237364226,0.9120993414577242,0.9109292804957566,0.1935940533876419,1.659397765994072,12.774022102355957,132.54937267303467,13.235908508300781,135.3641128540039,0.83984375,0.83984375
D,two_concepts,TinyCNN,4000,template_release,200,auroc,8,True,0.9900746268404664,3.666764669674194e-10,0.99007462647379,0.9834758407231523,0.9832753272399152,0.01839163526892662,1.8346001841127872,2.4013471603393555,142.92204761505127,2.485286235809326,146.11473512649536,0.984375,0.98828125
D,two_concepts,TinyCNN,4000,template_release,200,validation_patch,1,True,0.48444540286934745,3.316738517167295e-08,0.4844454360367326,0.6251295685786327,0.629471615675684,0.9553183317184448,0.897673487663269,54.477447509765625,90.845947265625,55.060523986816406,93.53949737548828,0.40625,0.41015625
D,two_concepts,TinyCNN,4000,template_release,200,validation_patch,2,True,0.6902888776148155,1.992477249856961e-08,0.690288897539588,0.7817680840041185,0.7828875408809229,0.5738922357559204,1.2790995836257935,31.714202880859375,113.60919189453125,32.262916564941406,116.33710479736328,0.576171875,0.576171875
