architecture,method,k,metric,block,delta
TinyCNN,contrast,8,centered_logit_fidelity,4015,0.011305188550844503
TinyCNN,contrast,8,centered_logit_fidelity,4016,0.005881315630152706
TinyCNN,contrast,8,centered_logit_fidelity,4017,0.002217586943204064
TinyCNN,contrast,8,centered_logit_fidelity,4018,0.0008079292693975448
TinyCNN,contrast,8,centered_logit_fidelity,4019,-0.004463056310503699
TinyCNN,auroc,1,centered_logit_fidelity,4000,-0.1035176191078625
TinyCNN,auroc,1,centered_logit_fidelity,4001,-0.2445489556802357
TinyCNN,auroc,1,centered_logit_fidelity,4002,-0.41468529871374515
TinyCNN,auroc,1,centered_logit_fidelity,4003,-0.19449456109379248
TinyCNN,auroc,1,centered_logit_fidelity,4004,-0.27813330535605185
TinyCNN,auroc,1,centered_logit_fidelity,4005,-0.016542409446146156
TinyCNN,auroc,1,centered_logit_fidelity,4006,-0.18705876752079675
TinyCNN,auroc,1,centered_logit_fidelity,4007,-0.28653953426699896
TinyCNN,auroc,1,centered_logit_fidelity,4008,-0.07430438657850758
TinyCNN,auroc,1,centered_logit_fidelity,4009,-0.16750811022917433
TinyCNN,auroc,1,centered_logit_fidelity,4010,0.05034511633097516
TinyCNN,auroc,1,centered_logit_fidelity,4011,-0.19600990389861117
TinyCNN,auroc,1,centered_logit_fidelity,4012,-0.39372807073460026
TinyCNN,auroc,1,centered_logit_fidelity,4013,-0.0988217038857343
TinyCNN,auroc,1,centered_logit_fidelity,4014,0.05230593166773678
TinyCNN,auroc,1,centered_logit_fidelity,4015,-0.08016492320438617
TinyCNN,auroc,1,centered_logit_fidelity,4016,-0.03850652676762267
TinyCNN,auroc,1,centered_logit_fidelity,4017,-0.2791132136798955
TinyCNN,auroc,1,centered_logit_fidelity,4018,-0.17602286438232995
TinyCNN,auroc,1,centered_logit_fidelity,4019,-0.002929154733031347
TinyCNN,auroc,2,centered_logit_fidelity,4000,-0.17351956836760019
